stage_id,stage_order,stage_name,input_object,operation,formula_or_rule,output_object,output_value_or_scope,computational_role,implementation_status,claim_limit,provenance_asset
TW-D01,1,targeted literature evidence input,34-paper TPPL/2PI evidence corpus,assemble evidence-linked candidate property fields,targeted evidence corpus; not a systematic-review claim,11-field initial property pool,sigma_780;sigma_max;toxicity;solubility;absorption_range;synthetic_accessibility;isc_energy;aromaticity;boiling_point;logp;molecular_weight,defines the field competition set,completed_and_frozen,The 34-paper weighting corpus is an upstream targeted corpus and must not be conflated with the 44-DOI public source registry.,frozen multi-role task-weight derivation report
TW-D02,2,role-structured field scoring,11 field packets and four isolated role templates,"score evidence coverage, strength, directness, measurement availability, interpretability, role bias and redundancy","q[e,i] = max(0.05, 0.30*C_i + 0.25*E_i + 0.10*R_i + 0.20*M_i + 0.15*I_i + 0.50*B[e,i] - 0.18*P_i)",four role-specific field-weight proposals,chemistry; photophysics; engineering; biological risk,constructs explicit policy-prior inputs,deterministic_fallback_completed,"Role nodes are deterministic templates, not human experts and not external-LLM expert votes.",role-node reports and disclosure audit
TW-D03,3,field adjudication,"role-specific proposals, field stability metrics and evidence statistics",apply the frozen field-selection score and status rules,"weighted-core selection combined mean role weight, evidence strength/coverage, retain ratio, cross-role support, interpretability, measurement availability, redundancy and uncertainty penalties",seven weighted-core indicators,sigma_780;absorption_range;solubility;sigma_max;synthetic_accessibility;isc_energy;toxicity,separates training candidates from auxiliary and unresolved fields,completed_and_frozen,"The adjudication is a rule-structured policy construction, not learned task weighting.",frozen multi-role task-weight derivation report
TW-D04,4,dimension aggregation,four role-node dimension proposals,average and renormalise dimension proposals,"W_d = 100 * mean_e(D[e,d]) / sum_d mean_e(D[e,d])",four global dimension weights,biological_compatibility=20.0;photophysical_performance=32.0;chemical_accessibility=21.5;engineering_applicability=26.5,sets cross-domain policy priorities,completed_and_frozen,"Dimension weights encode study utility preferences, not empirical endpoint authority.",clean/release np1 rulebook weights
TW-D05,5,seven-indicator global weighting,dimension weights and within-dimension indicator subweights,sum each indicator contribution across dimensions,"G_i = sum_d W_d * S[d,i] / 100",seven global indicator weights,sigma_780=11.7884;absorption_range=12.291;solubility=16.3172;sigma_max=12.6863;synthetic_accessibility=17.7734;isc_energy=13.6915;toxicity=15.4522,creates the pre-MT6 policy vector,completed_and_frozen,"These are role-summation utility weights, not literature-count weights or performance-optimal weights.",clean/release np1 normalized weights
TW-D06,6,regression-head eligibility,seven weighted-core indicators,retain absorption_range as a rule-layer spectral-window criterion and remove it from continuous regression heads,T = weighted_core minus {absorption_range},six Chemprop regression tasks,sigma_780;sigma_max;toxicity;solubility;synthetic_accessibility;isc_energy,prevents a rule-layer interval criterion from being forced into a continuous target,completed_and_frozen,Exclusion from the loss does not mean spectral-window compatibility is scientifically unimportant.,frozen multi-role task-weight derivation report
TW-D07,7,MT6 renormalisation,six retained global indicator weights,renormalise the retained weights to sum to one,w_i^MT6 = G_i / sum_(k in T) G_k; denominator=87.7090,six-task normalised loss-weight vector,0.134404 0.144641 0.176176 0.186038 0.202641 0.156101,supplies Chemprop target_weights,implemented_in_D06_and_F06,The vector was frozen before outer-test evaluation and was not selected by outer-test optimisation.,frozen task-weight policy and final training specifications
TW-D08,8,Chemprop internal scaling,six-task normalised loss-weight vector,apply the equivalent mean-one scaling used in saved Chemprop arguments,alpha_i = 6 * w_i^MT6,Chemprop mean-one weight vector,0.806421 0.867845 1.057055 1.116228 1.215843 0.936609,records the equivalent saved-argument representation,verified_against_training_assets,The two vectors differ only by a common factor and encode identical relative task priorities.,training-weight scheme audit
TW-D09,9,controlled sensitivity audit,five predeclared task-weight vectors,vary target_weights while holding model protocol and grouped-scaffold folds fixed,equal; literature prior; optical x1.5; feasibility x1.25; ISC x1.5,five completed five-fold comparisons,equal weighting had the lowest observed inner-CV macro RMSE,audits dependence on the policy vector,completed,The audit does not support literature weighting as a predictive-performance optimum or prove downstream ranking invariance.,D06 task-weight sensitivity summaries
TW-D10,10,generation-mode disclosure,four role-node requests and one integrative-adjudicator request,audit provider/model configuration and archived response status,external-compatible requests were written; no model was configured; deterministic fallback outputs were used,five node-level fallback disclosures,external LLM outputs used=0; deterministic fallback nodes=5,sets the reproducibility and authorship disclosure boundary,fully_disclosed,Do not describe the archived workflow as human-expert elicitation or successful live-LLM expert voting.,node-level LLM-compatible workflow disclosure audit
