candidate_id,family,mechanism_lane,representative_role,selection_evidence,selection_status,qm_route,qm_result_status,decision_status,provenance_path
VAR_round27_native_0006,round26_oxe_type_i,Type-I OXE N-O cleavage,primary_representative,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0040,round26_oxe_type_i,Type-I OXE N-O cleavage,primary_representative,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0017,round26_oxe_type_i,Type-I OXE N-O cleavage,primary_representative,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0107,round26_oxe_type_i,Type-I OXE N-O cleavage,primary_representative,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0001,round26_oxe_type_i,Type-I OXE N-O cleavage,supporting_clean_oxe,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0009,round26_oxe_type_i,Type-I OXE N-O cleavage,supporting_clean_oxe,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0035,round26_oxe_type_i,Type-I OXE N-O cleavage,supporting_clean_oxe,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0002,round26_oxe_type_i,Type-I OXE N-O cleavage,supporting_clean_oxe,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0012,round26_oxe_type_i,Type-I OXE N-O cleavage,supporting_clean_oxe,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
VAR_round27_native_0036,round26_oxe_type_i,Type-I OXE N-O cleavage,supporting_clean_oxe,"final-policy optimized clean Type-I OXE candidate; experimental landing line, not a new PI class claim.",ready_for_qm_and_manual_route_review,N-O BDE; TD-DFT/NTO ICT; S1/T1; radical cleavage plausibility,not_consolidated_in_unique_manuscript_facing_manifest,TD-DFT/NTO ICT; N-O BDE; radical spin density; acrylate-addition plausibility,outputs/final_three_lane_research_package_20260608/final_three_lane_candidate_package.csv
