implementation_id,model_label,model_key,representation,task,target_weight_in_training_spec,expected_policy_weight,exact_match,loss_function,seed,validation_used,checkpoint_selection,outer_test_used_for_training,outer_test_used_for_scaler_fitting,training_spec_sha256,status,claim_limit
TW-I01,Dense-Chemprop,D06,dense_only,sigma_780,0.134404,0.134404,true,mse,0,false,final_epoch_only,false,false,f2b33ab2c3c439378622d5b1b52e6ad6294ef7ebfe129cd2f0ad07fe90930ef0,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I02,Dense-Chemprop,D06,dense_only,sigma_max,0.144641,0.144641,true,mse,0,false,final_epoch_only,false,false,f2b33ab2c3c439378622d5b1b52e6ad6294ef7ebfe129cd2f0ad07fe90930ef0,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I03,Dense-Chemprop,D06,dense_only,toxicity,0.176176,0.176176,true,mse,0,false,final_epoch_only,false,false,f2b33ab2c3c439378622d5b1b52e6ad6294ef7ebfe129cd2f0ad07fe90930ef0,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I04,Dense-Chemprop,D06,dense_only,solubility,0.186038,0.186038,true,mse,0,false,final_epoch_only,false,false,f2b33ab2c3c439378622d5b1b52e6ad6294ef7ebfe129cd2f0ad07fe90930ef0,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I05,Dense-Chemprop,D06,dense_only,synthetic_accessibility,0.202641,0.202641,true,mse,0,false,final_epoch_only,false,false,f2b33ab2c3c439378622d5b1b52e6ad6294ef7ebfe129cd2f0ad07fe90930ef0,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I06,Dense-Chemprop,D06,dense_only,isc_energy,0.156101,0.156101,true,mse,0,false,final_epoch_only,false,false,f2b33ab2c3c439378622d5b1b52e6ad6294ef7ebfe129cd2f0ad07fe90930ef0,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I07,PI-Chemprop,F06,dense_plus_pi_family,sigma_780,0.134404,0.134404,true,mse,0,false,final_epoch_only,false,false,c4d3f448d8375f75a28db6a054b0f0e5a1db733e36f173840c850c32e81ade8b,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I08,PI-Chemprop,F06,dense_plus_pi_family,sigma_max,0.144641,0.144641,true,mse,0,false,final_epoch_only,false,false,c4d3f448d8375f75a28db6a054b0f0e5a1db733e36f173840c850c32e81ade8b,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I09,PI-Chemprop,F06,dense_plus_pi_family,toxicity,0.176176,0.176176,true,mse,0,false,final_epoch_only,false,false,c4d3f448d8375f75a28db6a054b0f0e5a1db733e36f173840c850c32e81ade8b,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I10,PI-Chemprop,F06,dense_plus_pi_family,solubility,0.186038,0.186038,true,mse,0,false,final_epoch_only,false,false,c4d3f448d8375f75a28db6a054b0f0e5a1db733e36f173840c850c32e81ade8b,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I11,PI-Chemprop,F06,dense_plus_pi_family,synthetic_accessibility,0.202641,0.202641,true,mse,0,false,final_epoch_only,false,false,c4d3f448d8375f75a28db6a054b0f0e5a1db733e36f173840c850c32e81ade8b,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
TW-I12,PI-Chemprop,F06,dense_plus_pi_family,isc_energy,0.156101,0.156101,true,mse,0,false,final_epoch_only,false,false,c4d3f448d8375f75a28db6a054b0f0e5a1db733e36f173840c850c32e81ade8b,verified_in_final_training_spec,"Configuration evidence proves implementation, not superiority of the weighting policy."
