priority_rank,priority_score,entity_id,paper_id,doi,source_label,occurrence_count,text_decision_status,text_confidence_tier,text_inchikey,text_fragment_count,candidate_rows,candidate_channels,single_fragment_rows,multifragment_rows,wildcard_rows,rdkit_valid_rows,exact_text_fragment_rows,exact_text_fragment_channels,distinct_complete_candidate_inchikeys,recommended_next_action,triage_class,automatic_acceptance_eligible,reason,scientific_use_boundary
1,312,SRCENT-9b82a07a926bfcbc89,OA2P-000445,10.2494/photopolymer.14.657,PI 11,12,unresolved_no_eligible_source_text_definition,U_text,,0,6,numbered;numbered3;source2,0,3,3,3,0,,0,recover_source_defined_repeat_unit_or_complete_substituent,wildcard_or_polymer_structure,no,candidate contains an attachment point or incomplete substituent,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
2,305,SRCENT-88c1b164b46ca28a6c,OA2P-000445,10.2494/photopolymer.14.657,PI 10,5,unresolved_no_eligible_source_text_definition,U_text,,0,3,numbered;numbered3;source2,3,0,3,3,0,,0,recover_source_defined_repeat_unit_or_complete_substituent,wildcard_or_polymer_structure,no,candidate contains an attachment point or incomplete substituent,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
3,302,SRCENT-5e2ce95f52eb9ad889,ZPC-003074,10.1016/j.saa.2007.07.064,compound 4,2,unresolved_no_eligible_source_text_definition,U_text,,0,37,numbered;numbered260;numbered400;source2,35,0,1,35,0,,8,recover_source_defined_repeat_unit_or_complete_substituent,wildcard_or_polymer_structure,no,candidate contains an attachment point or incomplete substituent,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
4,301,SRCENT-78bfca0b587888abb4,OA2P-000445,10.2494/photopolymer.14.657,compound 11,1,unresolved_no_eligible_source_text_definition,U_text,,0,9,numbered;numbered3;source2,0,6,6,6,0,,0,recover_source_defined_repeat_unit_or_complete_substituent,wildcard_or_polymer_structure,no,candidate contains an attachment point or incomplete substituent,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
5,301,SRCENT-f36457cdfca9a655df,ZPC-001187,10.1016/j.jphotochem.2007.03.002,PI 2,1,unresolved_no_eligible_source_text_definition,U_text,,0,3,numbered;numbered3;source2,3,0,3,3,0,,0,recover_source_defined_repeat_unit_or_complete_substituent,wildcard_or_polymer_structure,no,candidate contains an attachment point or incomplete substituent,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
6,301,SRCENT-bfb599b991d7eddb3b,ZPC-004234,10.1002/cptc.202000146,compound 1,1,unresolved_no_eligible_source_text_definition,U_text,,0,16,named1;numbered;numbered260;numbered400;source2,11,4,1,15,0,,2,recover_source_defined_repeat_unit_or_complete_substituent,wildcard_or_polymer_structure,no,candidate contains an attachment point or incomplete substituent,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
7,301,SRCENT-c21c4929d2054c5ba5,ZPC-004284,10.1039/d1py00914a,DAS,1,unresolved_no_eligible_source_text_definition,U_text,,0,4,named1;numbered;numbered3;source,4,0,4,4,0,,0,recover_source_defined_repeat_unit_or_complete_substituent,wildcard_or_polymer_structure,no,candidate contains an attachment point or incomplete substituent,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
8,301,SRCENT-8e1db9d4c98a593413,ZPC-006106,10.1016/j.eurpolymj.2021.110293,ZnO-TDI-1173,1,unresolved_no_eligible_source_text_definition,U_text,,0,6,named1;source,0,2,2,2,0,,0,recover_source_defined_repeat_unit_or_complete_substituent,wildcard_or_polymer_structure,no,candidate contains an attachment point or incomplete substituent,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
9,281,SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,1,unresolved_no_eligible_source_text_definition,U_text,,0,24,named1;numbered;numbered260;numbered400;source2,15,5,0,20,0,,3,resolve_competing_complete_panel_structures,competing_structures,no,more than one complete molecular topology is associated with the source label,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
10,272,SRCENT-da54801d8f297e0812,zotero_WD4L7CWE,10.1016/j.eurpolymj.2019.109295,BA740,2,unresolved_no_eligible_source_text_definition,U_text,,0,2,source,2,0,0,2,0,,2,resolve_competing_complete_panel_structures,competing_structures,no,more than one complete molecular topology is associated with the source label,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
