zotero_key,doi,title,merged_source_id,merge_basis,candidate_anchor_count,audited_evidence_count,parse_status
2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,ZOT0001,new_doi,19,0,parsed
3BYUS84N,10.1016/j.addma.2021.102358,"Ultrafast, high-resolution and large-size three-dimensional structure manufacturing through high-efficiency two-photon polymerization initiators",ZOT0002,new_doi,0,0,not_started
3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,ZOT0003,new_doi,9,0,parsed
3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,ZOT0004,new_doi,17,0,parsed
4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,ZOT0005,new_doi,20,0,parsed
5TV7FKVK,10.1016/j.eurpolymj.2024.113176,Efficient and safe coumarin-carbazole-based oxime esters for one/two-photon polymerization of LEDs/NIR light,ZOT0006,new_doi,16,0,parsed
62KD2ECJ,10.1016/j.eurpolymj.2021.110525,"One/two-photon sensitive sulfonium salt photoinitiators based on 1,3,5-triphenyl-2-pyrazoline",ZOT0007,new_doi,13,0,parsed
6LCBE37H,,Two-photon activable photoacid generators and their applications,ZOT0008,no_doi_new_source,0,0,not_started
6ZQ3VP63,10.1038/17989,Two-photon polymerization initiators for three-dimensional optical data storage and microfabrication,ZOT0009,new_doi,14,18,parsed
87BWABRN,10.1039/c4tc00706a,Two-photon lithography in visible and NIR ranges using multibranched-based sensitizers for efficient acid generation,ZOT0010,new_doi,15,0,parsed
89EZMLW2,10.1039/c3ra42918k,Initiation efficiency and cytotoxicity of novel water-soluble two-photon photoinitiators for direct 3D microfabrication of hydrogels,ZOT0011,new_doi,0,0,not_started
95TT3IKI,10.1016/j.jphotochem.2007.03.002,"Synthesis, optical and initiating properties of new two-photon polymerization initiators-2,7-bis(styryl)anthraquinone derivatives",ZOT0012,new_doi,19,12,parsed
A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,Imidazole-containing photoinitiators for fabrication of sub-micron structures by 3D two-photon polymerization,ZOT0013,new_doi,15,0,parsed
