entity_id,paper_id,doi,source_label,candidate_count,eligible_candidate_count,resolved_candidate_count,distinct_external_inchikeys,selected_query_name,selected_query_slug,selected_candidate_type,selected_candidate_id,source_location,rendered_page_path,pubchem_cid,canonical_smiles,inchikey,molecular_formula,fragment_count,formal_charge,decision_status,confidence_tier,decision_basis,scientific_use_boundary
SRCENT-1b5e073932462319fe,zotero_4UUBRRGP,10.1002/adfm.201203880,Eosin Y,5,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-a4c3643d22be623181,ZPC-005453,10.1002/admi.202202352,PI 0,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-fec526dffb25f1f1cd,ZPC-004576,10.1002/app.32576,benzophenone,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-c7042e75693311d76b,ZPC-005397,10.1002/app.37691,Darocur 1173,9,1,1,1,"2,2-Dimethyl-2-hydroxyacetophenone",q_026dae03558649524514,full_name_before_square_bracketed_label,TXTID-7cb2ae9301603ae3,PDF page 2; embedded-text characters 1605-1617,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_v4_20260906\source_pages\ZPC-005397\page_0002.png,81984,CC(C)(O)C(=O)c1ccccc1,XMLYCEVDHLAQEL-UHFFFAOYSA-N,C10H12O2,1,0,provisional_corrected_name_requires_source_structure_concordance,B_text_corrected_name,source_text_name_with_spelling_correction_requires_structure_concordance,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-a0ae33d7cc3637d997,ZPC-000269,10.1002/app.38488,darocur 1173,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-85be4c9bdaf097b004,ZPC-000269,10.1002/app.38488,HTE4-30,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-bfb599b991d7eddb3b,ZPC-004234,10.1002/cptc.202000146,compound 1,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-439c2a6ec83b3cefb2,ZPC-004234,10.1002/cptc.202000146,DCCA,68,1,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-e39c3e1084c35d5cde,ZPC-003094,10.1002/lpor.201600079,PI 5,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
