decision_id,candidate_id,evidence_id,run_id,source_id,decision,readiness_level,reject_reason,gate_notes
DEC-0000001,CAND-0000001,EV-000001,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000002,CAND-0000002,EV-000001,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000003,CAND-0000003,EV-000001,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,COMSOL_context_not_verified,voxel evidence found; COMSOL readiness requires optical context and PI alignment
DEC-0000004,CAND-0000004,EV-000002,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000005,CAND-0000005,EV-000003,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,possible_C_external_sigma2,external/mismatched sigma2 cannot enter main analysis without audit
DEC-0000006,CAND-0000006,EV-000003,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000007,CAND-0000007,EV-000004,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,possible_C_external_sigma2,external/mismatched sigma2 cannot enter main analysis without audit
DEC-0000008,CAND-0000008,EV-000004,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000009,CAND-0000009,EV-000005,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000010,CAND-0000010,EV-000006,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000011,CAND-0000011,EV-000007,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,possible_C_external_sigma2,external/mismatched sigma2 cannot enter main analysis without audit
DEC-0000012,CAND-0000012,EV-000007,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000013,CAND-0000013,EV-000008,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000014,CAND-0000014,EV-000009,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000015,CAND-0000015,EV-000009,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000016,CAND-0000016,EV-000010,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000017,CAND-0000017,EV-000010,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000018,CAND-0000018,EV-000011,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
