evidence_id,source_id,zotero_key,doi,title,field_name,raw_value,raw_unit,normalized_value,normalized_unit,page_hint,evidence_anchor,local_context,formulation,wavelength_nm,figure_or_table,data_role,evidence_lane,confidence_class,automatic_status,automatic_use,source_layer,source_record_id,source_text_path,automatic_reason,notes,record_origin,legacy_value_type,legacy_audit_status,legacy_visual_audit_reference,legacy_source_json,evidence_identity_key,duplicate_group_id,duplicate_group_size,duplicate_relation
AUD20260828-0001,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,pi_loading,0.1,phr,0.1,phr,2,TABLE I: PETIA (0.1) / Irgacure 819 (0.1),TABLE I: PETIA (0.1) / Irgacure 819 (0.1),PETIA; Irgacure 819,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0001,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Composition checked against the rendered Table I on PDF page 2.; legacy_value_type=pi_loading,legacy_registry,pi_loading,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-a86aec4c05498d6e,DUP-a86aec4c05498d6e,1,unique_record
AUD20260828-0002,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,pi_loading,0.2,phr,0.2,phr,2,TABLE I: PETIA (0.2) / Irgacure 819 (0.2),TABLE I: PETIA (0.2) / Irgacure 819 (0.2),PETIA; Irgacure 819,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0002,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Composition checked against the rendered Table I on PDF page 2.; legacy_value_type=pi_loading,legacy_registry,pi_loading,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-e41b39f8671423c6,DUP-e41b39f8671423c6,1,unique_record
AUD20260828-0003,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,pi_loading,0.5,phr,0.5,phr,2,TABLE I: PETIA (0.5) / Irgacure 819 (0.5),TABLE I: PETIA (0.5) / Irgacure 819 (0.5),PETIA; Irgacure 819,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0003,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Composition checked against the rendered Table I on PDF page 2.; legacy_value_type=pi_loading,legacy_registry,pi_loading,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-06452c27f69091ac,DUP-06452c27f69091ac,1,unique_record
AUD20260828-0004,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,polymerization_threshold,12,mW,12,mW,2,"The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.","The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.",PETIA (0.1),,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0004,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Threshold value manually verified on the rendered PDF page 2.; legacy_value_type=polymerization_threshold_laser_power,legacy_registry,polymerization_threshold_laser_power,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-ec0d2374078ab62e,DUP-ec0d2374078ab62e,1,unique_record
AUD20260828-0005,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,damage_threshold_laser_power,70,mW,70,mW,2,PETIA (0.1) and PETIA (0.2): 70 mW; PETIA (0.5): 110 mW; above these values the photoresists started burning.,PETIA (0.1) and PETIA (0.2): 70 mW; PETIA (0.5): 110 mW; above these values the photoresists started burning.,PETIA (0.1),,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0005,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Damage threshold manually checked against Figure 1 and the results paragraph.; legacy_value_type=damage_threshold_laser_power,legacy_registry,damage_threshold_laser_power,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-5a18a7531bd2c0a3,DUP-5a18a7531bd2c0a3,1,unique_record
AUD20260828-0006,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,polymerization_threshold,7,mW,7,mW,2,"The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.","The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.",PETIA (0.2),,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0006,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Threshold value manually verified on the rendered PDF page 2.; legacy_value_type=polymerization_threshold_laser_power,legacy_registry,polymerization_threshold_laser_power,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-6c1f9f9a2a7cfbfb,DUP-6c1f9f9a2a7cfbfb,1,unique_record
AUD20260828-0007,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,damage_threshold_laser_power,70,mW,70,mW,2,PETIA (0.1) and PETIA (0.2): 70 mW; PETIA (0.5): 110 mW; above these values the photoresists started burning.,PETIA (0.1) and PETIA (0.2): 70 mW; PETIA (0.5): 110 mW; above these values the photoresists started burning.,PETIA (0.2),,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0007,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Damage threshold manually checked against Figure 1 and the results paragraph.; legacy_value_type=damage_threshold_laser_power,legacy_registry,damage_threshold_laser_power,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-d9b8aa4733403cd1,DUP-d9b8aa4733403cd1,1,unique_record
AUD20260828-0008,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,polymerization_threshold,3,mW,3,mW,2,"The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.","The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.",PETIA (0.5),,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0008,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Threshold value manually verified on the rendered PDF page 2.; legacy_value_type=polymerization_threshold_laser_power,legacy_registry,polymerization_threshold_laser_power,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-23ce0f5c6a001fa8,DUP-23ce0f5c6a001fa8,1,unique_record
AUD20260828-0009,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,damage_threshold_laser_power,110,mW,110,mW,2,PETIA (0.1) and PETIA (0.2): 70 mW; PETIA (0.5): 110 mW; above these values the photoresists started burning.,PETIA (0.1) and PETIA (0.2): 70 mW; PETIA (0.5): 110 mW; above these values the photoresists started burning.,PETIA (0.5),,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0009,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Damage threshold manually checked against Figure 1 and the results paragraph.; legacy_value_type=damage_threshold_laser_power,legacy_registry,damage_threshold_laser_power,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-0524cf92968fb40f,DUP-0524cf92968fb40f,1,unique_record
AUD20260828-0010,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,objective_na,0.4,NA,0.4,NA,2,20× (NA=0.4) objective,20× (NA=0.4) objective,,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0010,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,legacy_value_type=objective_na,legacy_registry,objective_na,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-1e86cfbba015531c,DUP-1e86cfbba015531c,1,unique_record
