entity_id,paper_id,doi,source_label,terminal_status,terminal_reason,source_evidence_id,source_location,scientific_boundary
SRCENT-ff08161ddda7a22153,ZPC-000028,10.1021/ma9007785,TPIP,terminal_nonchemical_token,"process acronym, not a chemical identity",TXTID-4d3c9bf1fd4545b4,PDF page 1; embedded-text characters 4571-4575,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-b2b70ef58fcc0b4c09,ZPC-000049,10.1039/d4sc03527e,PI 23,terminal_nonchemical_token,"citation/type marker, not a chemical identity",TXTID-b958b9af482624a0,PDF page 3; embedded-text characters 3354-3358,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-d4818592609366bb91,ZPC-006320,10.1016/j.jphotochem.2019.112225,PI 2,terminal_nonchemical_token,"photoinitiator class marker, not a chemical identity",SRCENTITY-SRCENT-d4818592609366bb91,PDF page 4; source-local entity text and validated structure anchor,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-cc21558414e39a1163,OA2P-000080,10.1007/s00170-022-08731-1,PI 0,terminal_nonchemical_token,"polyimide abbreviation, not a photoinitiator",TXTID-3ca38d5e089b030e,PDF page 25; embedded-text characters 3266-3270,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-5b78d8104ce9fd8c33,OA2P-000400,10.1364/oe.389215,M-112,terminal_nonchemical_token,"microscope model identifier, not a chemical identity",TXTID-c59ed64f7244bbdc,PDF page 3; embedded-text characters 860-865,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-da632780073857e227,OA2P-000440,10.21203/rs.3.rs-1797484/v1,PI 4,terminal_nonchemical_token,"citation/type marker, not a chemical identity",SRCENTITY-SRCENT-da632780073857e227,PDF page 6; source-local entity text and validated structure anchor,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-e39c3e1084c35d5cde,ZPC-003094,10.1002/lpor.201600079,PI 5,terminal_nonchemical_token,"citation/type marker, not a chemical identity",SRCENTITY-SRCENT-e39c3e1084c35d5cde,PDF page 3; source-local entity text and validated structure anchor,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-200723efa959a42d27,ZPC-000304,10.1016/j.porgcoat.2018.05.008,PI 66,terminal_nonchemical_token,"citation/type marker, not a chemical identity",SRCENTITY-SRCENT-200723efa959a42d27,PDF page 8; source-local entity text and validated structure anchor,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-0883e7d20044d19198,zotero_AU74BQZ6,10.37188/lam.2023.004,PI 37,terminal_nonchemical_token,"citation marker, not a chemical identity",SRCENTITY-SRCENT-0883e7d20044d19198,PDF page 4; source-local entity text and validated structure anchor,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-81400a73c96186dd31,OA2P-000087,10.1007/s40820-020-00577-0,CO2,terminal_nonchemical_token,"laser/source gas, not a photoinitiator",TXTID-14b76a8be412be47,PDF page 7; embedded-text characters 5476-5479,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-d276c0b540cd979d9c,OA2P-000132,10.1016/s0007-8506(07)61699-0,TEA,terminal_nonchemical_token,"TEA CO2 laser acronym, not triethylamine",TXTID-0972a414e0024ce8,PDF page 5; embedded-text characters 3736-3739,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-ddb4e1056883546901,OA2P-000463,10.3389/fphy.2018.00016,TEA,terminal_nonchemical_token,"TEA CO2 laser acronym, not triethylamine",TXTID-66589c75d8338a21,PDF page 5; embedded-text characters 2755-2758,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-df74f0a50698ec67ed,ZPC-004762,10.1021/acs.macromol.8b02640,Tea,terminal_nonchemical_token,"citation-title token, not triethylamine",TXTID-4c887d1e7772479e,PDF page 8; embedded-text characters 4103-4106,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
