paper_id,doi,title,parse_status,page_count,text_char_count,structured_evidence_status,notes
ZPC-000012,10.1021/acsmacrolett.7b00499,Wavelength-dependent photochemical stability of photoinitiator-derived macromolecular chain termini,parsed,7,30692,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000021,10.1016/j.dental.2015.10.013,Tris(trimethylsilyl)silane as a co-initiator for dental adhesive: Photo-polymerization kinetics and dynamic mechanical property,parsed,12,60473,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000027,10.1021/acs.macromol.1c00856,Solvent-free three-dimensional printing of biodegradable elastomers using liquid macrophotoinitiators,parsed,10,53658,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000031,10.1021/acs.macromol.7b00089,Wavelength-dependent photochemistry of oxime ester photoinitiators,parsed,9,40782,structured_in_public_registry,Source-linked object exists in literature_knowledge registries.
ZPC-000032,10.1021/acs.macromol.1c02252,Hybrid Free-Radical/Cationic Phase-Separated UV-Curable System: Impact of Photoinitiator Content and Monomer Fraction on Surface Morphologies and Gloss Appearance,parsed,11,52857,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000049,10.1039/d4sc03527e,Two- and three-photon processes during photopolymerization in 3D laser printing,parsed,16,82259,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000222,10.1021/acsapm.8b00165,Photopolymerization in 3D Printing,parsed,19,113390,structured_in_public_registry,Source-linked object exists in literature_knowledge registries.
ZPC-000241,10.3906/kim-0803-30,Study of the polymerization of methyl methacrylate initiated by thioxanthone derivatives: a magnetic field effect,parsed,7,13505,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000252,10.1163/156856197x00598,Surface photografting of low-density polyethylene films and its relevance to photolamination,parsed,18,34331,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000265,10.1002/app.22956,Synthesis and characterization of oligomers containing the α-aminoalkylphenone chromophore as oligomeric photoinitiator,parsed,8,28187,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000269,10.1002/app.38488,Synthesis and crosslinking kinetic study of epoxidized and acrylated/epoxidized oligoisoprenes: Comparison between cationic and radical photopolymerization,parsed,9,42151,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000277,10.1002/pat.1656,Synthesis and photoinitiating behavior of hyperbranched polymeric photoinitiators bearing coinitiator amine,parsed,8,35442,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000279,10.1002/app.27668,Synthesis and photopolymerization characterization of a novel difunctional photoinitiator,parsed,6,23879,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000285,10.1016/j.porgcoat.2020.105546,Synthesis and photopolymerization of novel UV-curable macro-photoinitiators,parsed,8,34579,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000302,10.1016/j.porgcoat.2020.105565,Synthesis of organic and inorganic hybrid nanoparticles as multifunctional photoinitiator and its application in UV-curable epoxy acrylate-based coating systems,parsed,9,41464,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000304,10.1016/j.porgcoat.2018.05.008,Synthesis of UV-curing waterborne polyurethane-acrylate coating and its photopolymerization kinetics using FT-IR and photo-DSC methods,parsed,9,43522,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000314,10.3390/nano12152631,The 3D printing behavior of photocurable ceramic/polymer composite slurries prepared with different particle sizes,parsed,13,41004,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000320,10.1016/j.procir.2013.01.044,The effect of a type I photoinitiator on cure kinetics and cell toxicity in projection-microstereolithography,parsed,4,16993,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000323,10.4028/www.scientific.net/amr.174.433,The effect of photoinitiator on UV screen printing photochromic Ink'S curing performance,parsed,5,10265,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000328,10.1002/(sici)1097-4628(19971114)66:7<1267::aid-app6>3.0.co;2-e,The effects of processing variables on stress development in ultraviolet-cured coatings,parsed,11,33765,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000329,10.1002/(sici)1522-9505(19980401)256:1<1::aid-apmc1>3.0.co;2-8,The effects of photocrosslinking parameters on films made from mixtures of maleate and vinyl ether functional oligomers: a factorial model,parsed,8,26996,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000336,10.2478/bf02475199,The influence of temperature and photoinitiator concentration on photoinitiated polymerization of diacrylate monomer,parsed,10,17396,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000343,10.1002/app.22679,The preparation and physical properties of UP/montmorillonite nanocomposite by UV radiation curing,parsed,7,19136,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000347,10.2341/17-263-l,The use of different photoinitiator systems in photopolymerizing resin cements through ceramic veneers,parsed,9,37013,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000352,10.1007/s10973-013-3446-z,Thermogravimetric analysis of thermal stability of poly(methyl methacrylate) films modified with photoinitiators,parsed,8,28660,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000354,10.1002/polb.21842,Thermophysical analysis of SU8-modified microstructures created by visible light lithography,parsed,8,29504,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000356,10.1039/b009992i,Thin layer molecularly imprinted microfiltration membranes by photofunctionalization using a coated α-cleavage photoinitiator,parsed,7,35195,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000360,10.1016/j.porgcoat.2020.105939,Thioxanthone attached polyhedral oligomeric silsesquioxane (POSS) nano-photoinitiator for preparation of PMMA hybrid networks in air atmosphere,parsed,7,30484,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000374,10.1039/c2ra00892k,Three-component photoinitiating systems: towards innovative tailor made high performance combinations,parsed,9,41188,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000385,10.1166/jnn.2013.6011,Two-photon induced photopolymerization using photoinitiator with an intramolecular radical quenching moiety for nanolithography,parsed,4,17763,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000393,10.1002/pat.1560,"Ultraviolet-induced crosslinking of poly(butylene succinate) and its thermal property, dynamic mechanical property, and biodegradability",parsed,9,42920,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000394,10.1002/app.22130,Ultraviolet-curing behavior of an epoxy acrylate resin system,parsed,6,22847,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000403,10.2494/photopolymer.29.99,UV curable formulations for UV-c leds,parsed,6,18311,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000410,10.1007/s00289-012-0725-y,UV-crosslinkable acrylic pressure-sensitive adhesives for industrial application,parsed,10,20924,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000414,10.2109/jcersj2.116.896,UV-curing of titanium dioxide pigmented epoxy acrylate coating on ceramic tiles,parsed,8,45685,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000419,10.3390/coatings13010040,Verification of the influence of the 2-hydroxy-2-methylpropiophenone (photoinitiator) content in hydrogel materials on their physicochemical properties and surface morphology,parsed,21,75538,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000430,10.3390/ma10121445,Visible light photoinitiator for 3D-printing of tough methacrylate resins,parsed,11,54774,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000431,10.1134/s1560090414050145,Visible light photopolymerization induced by triazine derivative,parsed,6,17600,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000437,10.1002/marc.201200605,Visible-light-mediated thiol-ene hydrogelation using eosin-y as the only photoinitiator,parsed,5,25626,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000441,10.1002/macp.201100485,VUV-induced photopolymerization of acrylates,parsed,11,51557,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000449,10.1002/cptc.201700157,Zirconium propoxide: a coupling agent for the synthesis of multifunctional photoinitiators,parsed,4,20257,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000461,10.1021/ma201170y,Access to nanostructured hydrogel networks through photocured body-centered cubic block copolymer melts,parsed,11,64736,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000479,10.1021/la053188e,Simple photografting method to chemically modify and micropattern the surface of SU-8 photoresist,parsed,7,47716,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000507,10.1021/acs.biomac.6b00931,Modular and adaptable tumor niche prepared from visible light initiated thiol-norbornene photopolymerization,parsed,11,47991,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000547,10.1021/acsami.0c19608,Additive-free and support-free 3D printing of thermosetting polymers with isotropic mechanical properties,parsed,10,55131,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000574,10.36922/ijb025480497,A visible light-crosslinkable decellularized kidney matrix bioink for 3D bioprinting of organoids and drug testing,parsed,16,60612,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000582,10.1016/j.indcrop.2021.113331,Bio-based organic-inorganic hybrid UV-curable hydrophobic coating prepared from epoxidized vegetable oils,parsed,11,49030,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000583,10.1016/j.polymer.2017.04.039,Localized polymerization using single photon photoinitiators in two photon process for fabricating subwavelength structures,parsed,12,25538,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000589,10.1016/j.eurpolymj.2020.110055,Riboflavin-induced metal-free ATRP of (meth)acrylates,parsed,32,48591,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000621,10.31489/2959-0663/2-23-14,Thiol-ene click synthesis of alginate hydrogels loaded with silver nanoparticles and cefepime,parsed,10,36111,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000665,10.1002/anie.202414938,Cyclic acetals as expanding monomers to reduce shrinkage,parsed,11,49999,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000682,10.1002/mame.200400341,Polymerization kinetics and characterization of dual cured polyurethane-acrylate nanocomposites for laminates,parsed,10,37059,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000685,10.1021/ma9514838,"Synthesis and photoinitiated cationic polymerization of 2-methylene-7-phenyl-1,4,6,9-tetraoxaspiro[4.4]nonane",parsed,6,27897,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000705,10.1155/2018/8719624,"Synthesis, characterization, and visible light curing capacity of polycaprolactone acrylate",parsed,9,29169,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000711,10.1039/c9py01819k,Silane/iodonium salt as redox/thermal/photoinitiating systems in radical and cationic polymerizations for laser write and composites,parsed,10,40723,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
