entity_id,paper_id,doi,source_label,candidate_count,eligible_candidate_count,resolved_candidate_count,distinct_external_inchikeys,selected_query_name,selected_query_slug,selected_candidate_type,selected_candidate_id,source_location,rendered_page_path,pubchem_cid,canonical_smiles,inchikey,molecular_formula,fragment_count,formal_charge,decision_status,confidence_tier,decision_basis,scientific_use_boundary
SRCENT-1b5e073932462319fe,zotero_4UUBRRGP,10.1002/adfm.201203880,Eosin Y,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-65ab6786346f1710f2,zotero_4UUBRRGP,10.1002/adfm.201203880,Irgacure 2959,5,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-e967083bed94262c89,ZPC-005453,10.1002/admi.202202352,benzophenone,9,7,7,1,benzophenone,q_a45aa15c1eb9ab38b675,exact_source_common_name,TXTID-5b8524ed29c32ea7,PDF page 3; embedded-text characters 2829-2841,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-005453\page_0003.png,3102,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,1,0,independent_database_crosschecked_source_text_identity,A_text_crosschecked,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-a4c3643d22be623181,ZPC-005453,10.1002/admi.202202352,PI 0,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-b7339cc1875223a35a,ZPC-000279,10.1002/app.27668,benzophenone,9,6,6,1,benzophenone,q_a45aa15c1eb9ab38b675,exact_source_common_name,TXTID-2e91062494893453,PDF page 1; embedded-text characters 3178-3190,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000279\page_0001.png,3102,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,1,0,independent_database_crosschecked_source_text_identity,A_text_crosschecked,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-ff345236f678a8d436,ZPC-000279,10.1002/app.27668,HBP,65,1,1,1,4-Hydroxybenzophenone,q_020989db5c3516105e56,full_name_before_parenthesized_label,TXTID-935fced7a1ba3398,PDF page 2; embedded-text characters 407-410,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000279\page_0002.png,14347,O=C(c1ccccc1)c1ccc(O)cc1,NPFYZDNDJHZQKY-UHFFFAOYSA-N,C13H10O2,1,0,independent_database_crosschecked_source_text_identity,A_text_crosschecked,explicit_source_local_name_expansion_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-fec526dffb25f1f1cd,ZPC-004576,10.1002/app.32576,benzophenone,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-c7042e75693311d76b,ZPC-005397,10.1002/app.37691,Darocur 1173,8,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-a0ae33d7cc3637d997,ZPC-000269,10.1002/app.38488,darocur 1173,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-85be4c9bdaf097b004,ZPC-000269,10.1002/app.38488,HTE4-30,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
