supplement_id,source_id,zotero_key,doi,title,field_name,raw_value,raw_unit,normalized_value,normalized_unit,page_hint,evidence_anchor,local_context,normalization_basis,extraction_mode,automatic_status,automatic_confidence,automatic_gate_decision,automatic_gate_reason,source_record_id
SUP-AUTO-000001,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,pi_loading,0.05,wt %,,,,"ented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were obtained. As there are presumably different mechanisms of initiation responsible, a more comprehensive study on the photophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-scan analysis. We acknowledge the financial support by the Austrian Science Fund (FWF) and the Austrian Research Agency (FFG) under Contracts N703 (STRUCMAT- ISOTEC) and P18623 N-17. Supporting Information Available: Synthesis and character- ization of the key intermediates, NMR spectra of the new initiators, and photodegradation effect at different flow rates (z-scan analysis). This material is available free of ch","ented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were",converted_from_wt_percent,converted_from_wt_percent,auto_provisional_accept,machine_high,auto_accept,loading candidate has raw value/unit; normalization basis recorded,CAND-0000001
SUP-AUTO-000002,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=250;power_measurement_plane=not_reported;threshold_definition=candidate_in_anchor,context,,,,"ented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were obtained. As there are presumably different mechanisms of initiation responsible, a more comprehensive study on the photophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-scan analysis. We acknowledge the financial support by the Austrian Science Fund (FWF) and the Austrian Research Agency (FFG) under Contracts N703 (STRUCMAT- ISOTEC) and P18623 N-17. Supporting Information Available: Synthesis and character- ization of the key intermediates, NMR spectra of the new initiators, and photodegradation effect at different flow rates (z-scan analysis). This material is available free of ch","ented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were obtained. As there are presumably different mechanisms of initiation responsible, a more comprehensive study on the photophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-sca...",not_applicable,reported_direct,auto_retained_context_candidate,machine_medium,manual_review,context_missing_resin,CAND-0000002
SUP-AUTO-000003,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,voxel_geometry,line_width_um=0.25,mixed,,,,"ented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were obtained. As there are presumably different mechanisms of initiation responsible, a more comprehensive study on the photophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-scan analysis. We acknowledge the financial support by the Austrian Science Fund (FWF) and the Austrian Research Agency (FFG) under Contracts N703 (STRUCMAT- ISOTEC) and P18623 N-17. Supporting Information Available: Synthesis and character- ization of the key intermediates, NMR spectra of the new initiators, and photodegradation effect at different flow rates (z-scan analysis). This material is available free of ch","ented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were obtained. As there are presumably different mechanisms of initiation responsible, a more comprehensive study on the photophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-sca...",not_applicable,reported_direct,auto_retained_context_candidate,machine_medium,manual_review,COMSOL_context_not_verified,CAND-0000003
SUP-AUTO-000004,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,repetition_rate_MHz=100;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"ophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-scan analysis. We acknowledge the financial support by the Austrian Science Fund (FWF) and the Austrian Research Agency (FFG) under Contracts N703 (STRUCMAT- ISOTEC) and P18623 N-17. Supporting Information Available: Synthesis and character- ization of the key intermediates, NMR spectra of the new initiators, and photodegradation effect at different flow rates (z-scan analysis). This material is available free of charge via the Internet at http://pubs.acs.org. References and Notes (1) Maruo, S.; Nakamura, O.; Kawata, S. Opt. Lett. 1997, 22 (2), 132– 134. (2) Maruo, S.; Fourkas, J. T. Laser Photonics Rev. 2008, 2 (1-2), 100– 111. (3) Sun, H.-B.; Kawata, S. Adv. Polym. Sci. 2004, 170, 169-273. Figure 7. 3D structures (resin ETA/TTA 1:1,B3K as initiator) using different laser systems: system A (1 kHz): (a) dragonfly;55 (b) dinosaur;55 system B (100 MHz): (c) woodpile structure; (d) detailed view of the woodpile structure. --- Page 10 --- 6528 Macromolecules, Vol. 42, No. 17, 2009 Pucher et al. (4) Sun, H.-","ophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-scan analysis. We acknowledge the financial support by the Austrian Science Fund (FWF) and the Austrian Research Agency (FFG) under Contracts N703 (STRUCMAT- ISOTEC) and P18623 N-17. Supporting Information Available: Synthesis and character- ization of the key intermediates, NMR spectra of the new initiators, and photodegradation effect at different flow rates (z-scan analysis). This material is available free of charge via the Internet at http://pubs.acs.org. References and Notes (1) Maruo, S.; Nakamura, O.; Kawata, S. Opt. Lett. 1997, 22 (2), 132– 134. (2) Maruo, S.; Fourkas, J. T. Laser Photonics Rev....",not_applicable,reported_direct,auto_retained_context_candidate,machine_medium,manual_review,context_missing_wavelength,CAND-0000004
SUP-AUTO-000005,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,sigma_2pa,1,GM,1,GM,,"such as tailored replacement materials.13,14 TPIP is a solid free-form fabrication technique where a resin, which contains mainly a multifunctional acrylate-based monomer and a photoinitiator (PI), is cur ed inside the focal point of a femtosecond pulsed near-infrared laser beam. With this unique process it is possible to produce complex 3D structures with resolutions (∼120 nm) below the diffraction limit of the utilized wavelength.15 With advanced techniques such as the application of radical quenchers16,17 or repolymerization techniques,18 it is even possible to improve the feature resolution to 65 and 22 nm, respectively. A highly active TPA PI plays a key role in order to obtain an efficient and clean polymerization and therefore high-quality structures. In the literature, the TPA cross section (1 GM = 10-50 m4 sp h o t o n-1) is the currently used value to characterize the activity of a TPA compound. It has to be noted that this value corresponds only on the absorption behavior of the compound similar to the extinction coefficient (ε) of one-photon absorption in Lambert -Beer’s law, giving only a hint for the subsequent photoreactivity.6 At the initial stages of TPIP, research groups used typical commercially available radical PIs such as Irgacure 369. 1,8,19 Relatively high c","on techniques,18 it is even possible to improve the feature resolution to 65 and 22 nm, respectively. A highly active TPA PI plays a key role in order to obtain an efficient and clean polymerization and therefore high-quality structures. In the literature, the TPA cross section (1 GM = 10-50 m4 sp h o t o n-1) is the currently used value to characterize the activity of a TPA compound. It has to be noted that this value corresponds only on the absorption behavior of the compound similar to the extinction coefficient (ε)",wavelength_nm=120,reported_direct,auto_retained_low_context_candidate,machine_medium,manual_review,possible_C_external_sigma2,CAND-0000005
SUP-AUTO-000006,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=120;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"such as tailored replacement materials.13,14 TPIP is a solid free-form fabrication technique where a resin, which contains mainly a multifunctional acrylate-based monomer and a photoinitiator (PI), is cur ed inside the focal point of a femtosecond pulsed near-infrared laser beam. With this unique process it is possible to produce complex 3D structures with resolutions (∼120 nm) below the diffraction limit of the utilized wavelength.15 With advanced techniques such as the application of radical quenchers16,17 or repolymerization techniques,18 it is even possible to improve the feature resolution to 65 and 22 nm, respectively. A highly active TPA PI plays a key role in order to obtain an efficient and clean polymerization and therefore high-quality structures. In the literature, the TPA cross section (1 GM = 10-50 m4 sp h o t o n-1) is the currently used value to characterize the activity of a TPA compound. It has to be noted that this value corresponds only on the absorption behavior of the compound similar to the extinction coefficient (ε) of one-photon absorption in Lambert -Beer’s law, giving only a hint for the subsequent photoreactivity.6 At the initial stages of TPIP, research groups used typical commercially available radical PIs such as Irgacure 369. 1,8,19 Relatively high c","such as tailored replacement materials.13,14 TPIP is a solid free-form fabrication technique where a resin, which contains mainly a multifunctional acrylate-based monomer and a photoinitiator (PI), is cur ed inside the focal point of a femtosecond pulsed near-infrared laser beam. With this unique process it is possible to produce complex 3D structures with resolutions (∼120 nm) below the diffraction limit of the utilized wavelength.15 With advanced techniques such as the application of radical quenchers16,17 or repolymerization techniques,18 it is even possible to improve the feature resolution to 65 and 22 nm, respectively. A highly active TPA PI plays a key role in order to obtain an efficient and clean polymerization and therefore high-quality structures. In the literature, the TPA cross section (1 GM = 10-50 m4 sp h o t o n-1) is the currently used value to characterize the activi...",not_applicable,reported_direct,auto_provisional_accept,machine_high,auto_accept,context candidate has wavelength and resin signal; equality across all PIs still needs audit,CAND-0000006
SUP-AUTO-000007,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,sigma_2pa,995,GM,995,GM,,"igh photoreactivity just like for normal one-photon initiators seems the goal to achieve. In recent literature, a large variety of TPA active compounds has been reported with;in some cases; enormous TPA cross sections.24,25 To obtain these high GM values, a planarπ-system with a long conjugation length and with different functional donor (D) and/ or acceptor (A) groups are important structural parameters.24-26 Two representative examples of high efficiency that are fre- quently reported in literature are E,E-1,4-bis[40-(N,N-di-n- butylamino)styryl]-2,5-dimethoxybenzene (R1)a n d E,E-1,4-bis- [40-(N,N-di-n-butylamino)styryl]benzene (R2), with TPA cross sections up to 995 GM at the maximum of the TPA absorption spectra (730 nm) (Figure 1). 26 These initiators are using an intramolecular charge transfer mechanism in the primary initia- tion step, followed by an intermolecular electron transfer.27 In addition to the planarity, the conjugation length of the chromophore, the type of D/A system and the type of the*Corresponding author. E-mail: robert.liska@tuwien.ac.at. Downloaded via TONGJI UNIV on March 22, 2026 at 13:06:58 (UTC). See https://pubs.acs.org/sharingguidelines for options on how to legitimately share published articles. --- Page 2 --- 6520 Macromolecules, Vol. 42, No. 17,","eters.24-26 Two representative examples of high efficiency that are fre- quently reported in literature are E,E-1,4-bis[40-(N,N-di-n- butylamino)styryl]-2,5-dimethoxybenzene (R1)a n d E,E-1,4-bis- [40-(N,N-di-n-butylamino)styryl]benzene (R2), with TPA cross sections up to 995 GM at the maximum of the TPA absorption spectra (730 nm) (Figure 1). 26 These initiators are using an intramolecular charge transfer mechanism in the primary initia- tion step, followed by an intermolecular electron transfer.27 In addition to",wavelength_nm=730,reported_direct,auto_retained_low_context_candidate,machine_medium,manual_review,possible_C_external_sigma2,CAND-0000007
SUP-AUTO-000008,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=730;power_measurement_plane=not_reported,context,,,,"igh photoreactivity just like for normal one-photon initiators seems the goal to achieve. In recent literature, a large variety of TPA active compounds has been reported with;in some cases; enormous TPA cross sections.24,25 To obtain these high GM values, a planarπ-system with a long conjugation length and with different functional donor (D) and/ or acceptor (A) groups are important structural parameters.24-26 Two representative examples of high efficiency that are fre- quently reported in literature are E,E-1,4-bis[40-(N,N-di-n- butylamino)styryl]-2,5-dimethoxybenzene (R1)a n d E,E-1,4-bis- [40-(N,N-di-n-butylamino)styryl]benzene (R2), with TPA cross sections up to 995 GM at the maximum of the TPA absorption spectra (730 nm) (Figure 1). 26 These initiators are using an intramolecular charge transfer mechanism in the primary initia- tion step, followed by an intermolecular electron transfer.27 In addition to the planarity, the conjugation length of the chromophore, the type of D/A system and the type of the*Corresponding author. E-mail: robert.liska@tuwien.ac.at. Downloaded via TONGJI UNIV on March 22, 2026 at 13:06:58 (UTC). See https://pubs.acs.org/sharingguidelines for options on how to legitimately share published articles. --- Page 2 --- 6520 Macromolecules, Vol. 42, No. 17,","igh photoreactivity just like for normal one-photon initiators seems the goal to achieve. In recent literature, a large variety of TPA active compounds has been reported with;in some cases; enormous TPA cross sections.24,25 To obtain these high GM values, a planarπ-system with a long conjugation length and with different functional donor (D) and/ or acceptor (A) groups are important structural parameters.24-26 Two representative examples of high efficiency that are fre- quently reported in literature are E,E-1,4-bis[40-(N,N-di-n- butylamino)styryl]-2,5-dimethoxybenzene (R1)a n d E,E-1,4-bis- [40-(N,N-di-n-butylamino)styryl]benzene (R2), with TPA cross sections up to 995 GM at the maximum of the TPA absorption spectra (730 nm) (Figure 1). 26 These initiators are using an intramolecular charge transfer mechanism in the primary initia- tion step, followed by an intermolecular electron tr...",not_applicable,reported_direct,auto_retained_context_candidate,machine_medium,manual_review,context_missing_resin,CAND-0000008
SUP-AUTO-000009,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,sigma_2pa,256,GM,256,GM,,"σ) (Figure 3a). To exclude excited-state absorption and to proof the fact that a pure σ is determined, the measurements were repeated at different peak intensities and the calculated parameter q0 scales linearly with intensity (Figure 3b).52 All calculated σ values are given in Table 1. The values for the TPA cross sections of the ketone-based initiators show an increase with enhanced donor strength of the substituents in the para position of the aromatic ring. No signal could be detected for H3K, and only a very low signal was measured in case of O3K at the given wavelength. Among the amino-based derivatives P3K had the highest value of 256 GM. Surprisingly, there is a significant differ- ence between the methyl and butyl derivative M3K and B3K, maybe due to a shift of the TPA spectra between these two initiators, similar to the differences also observed in the one-photon spectra (Table 1). The value for M2K is on the same order of magnitude as the other amino-ketone-based PI. A comparison with litera- ture data 53 revealed that similar double-bond-containing derivatives are in the same range and also showing broader signals than the triple bond analogues that allows less accurate fitting of the data. The low value for M3P might be explained by the weak acceptor capability of the","enhanced donor strength of the substituents in the para position of the aromatic ring. No signal could be detected for H3K, and only a very low signal was measured in case of O3K at the given wavelength. Among the amino-based derivatives P3K had the highest value of 256 GM. Surprisingly, there is a significant differ- ence between the methyl and butyl derivative M3K and B3K, maybe due to a shift of the TPA spectra between these two initiators, similar to the differences also observed in the one-photon spectr",wavelength_nm=,reported_direct,auto_provisional_accept,machine_high,auto_accept,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit",CAND-0000009
SUP-AUTO-000010,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,sigma_2pa,40,GM,40,GM,,"ed value to characterize the activity of a TPA compound. It has to be noted that this value corresponds only on the absorption behavior of the compound similar to the extinction coefficient (ε) of one-photon absorption in Lambert -Beer’s law, giving only a hint for the subsequent photoreactivity.6 At the initial stages of TPIP, research groups used typical commercially available radical PIs such as Irgacure 369. 1,8,19 Relatively high concentrations and laser intensities as well as long exposure times are required when structuring with these one- photon initiators. 5,20,21 The limited efficiency of these PIs can be ascribed to the rather low TPA cross section, normally less than 40 GM, 22 while higher radical formation quantum yields and initiation efficiency tend to compensate the low TPA cross- section values. 23 Under practical conditions, several research groups still prefer these initiators, but in the past few years there has been a growing need for special PIs optimized for the TPIP process with a high photoinitiating or sensitizing quantum yield under TPIP conditions.6 Up to now, a full understanding of the relationship of the molecular structure and the two-photon properties has still remained a big challenge. A high GM value combined with a high photoreactivity just like f","re 369. 1,8,19 Relatively high concentrations and laser intensities as well as long exposure times are required when structuring with these one- photon initiators. 5,20,21 The limited efficiency of these PIs can be ascribed to the rather low TPA cross section, normally less than 40 GM, 22 while higher radical formation quantum yields and initiation efficiency tend to compensate the low TPA cross- section values. 23 Under practical conditions, several research groups still prefer these initiators, but in the past few yea",wavelength_nm=,reported_direct,auto_provisional_accept,machine_high,auto_accept,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit",CAND-0000010
