entity_id,paper_id,doi,raw_label,normalized_label,occurrence_count,page_hints,pdf_status,pages_processed,detected_structure_objects,strict_complete_candidates,distinct_candidate_inchikeys,selected_canonical_smiles,selected_inchikey,selected_formula,supporting_detection_count,conflicting_detection_count,identity_status,confidence_tier,scientific_use,source_structure_locations,claim_boundary
SRCENT-1b5e073932462319fe,zotero_4UUBRRGP,10.1002/adfm.201203880,Eosin Y,eosiny,1,5,available,5,20,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-65ab6786346f1710f2,zotero_4UUBRRGP,10.1002/adfm.201203880,Irgacure 2959,irgacure2959,1,5,available,5,20,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-e967083bed94262c89,ZPC-005453,10.1002/admi.202202352,benzophenone,benzophenone,2,15,available,5,15,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-a4c3643d22be623181,ZPC-005453,10.1002/admi.202202352,PI 0,pi0,2,7,available,5,15,0,0,,,,0,0,provisional_numeric_only_panel_pair,B_numeric,candidate_identity_only_not_model_ready,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-b7339cc1875223a35a,ZPC-000279,10.1002/app.27668,benzophenone,benzophenone,12,1;2;3,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-ff345236f678a8d436,ZPC-000279,10.1002/app.27668,HBP,hbp,1,5,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-fec526dffb25f1f1cd,ZPC-004576,10.1002/app.32576,benzophenone,benzophenone,1,2,available,3,7,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-c7042e75693311d76b,ZPC-005397,10.1002/app.37691,Darocur 1173,darocur1173,4,1;7;8,available,5,13,1,1,CC(C)(O)C(=O)c1ccccc1,XMLYCEVDHLAQEL-UHFFFAOYSA-N,C10H12O2,1,0,provisional_single_strict_panel_structure,B_strict_single,candidate_identity_only_not_model_ready,"PDF page 2; structure bbox (329, 301, 605, 616); label bbox (349, 629, 534, 653)","This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-a0ae33d7cc3637d997,ZPC-000269,10.1002/app.38488,darocur 1173,darocur1173,1,7,available,5,21,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-85be4c9bdaf097b004,ZPC-000269,10.1002/app.38488,HTE4-30,hte430,2,6,available,5,21,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-bfb599b991d7eddb3b,ZPC-004234,10.1002/cptc.202000146,compound 1,compound1,1,3,available,5,69,0,0,,,,0,0,provisional_numeric_only_panel_pair,B_numeric,candidate_identity_only_not_model_ready,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,compound2,1,3,available,5,69,0,0,,,,0,0,provisional_numeric_only_panel_pair,B_numeric,candidate_identity_only_not_model_ready,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-439c2a6ec83b3cefb2,ZPC-004234,10.1002/cptc.202000146,DCCA,dcca,1,5,available,5,69,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-e39c3e1084c35d5cde,ZPC-003094,10.1002/lpor.201600079,PI 5,pi5,2,3,available,1,4,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-e7312313c6c963c9ad,ZPC-004253,10.1002/pi.1835,compound 2,compound2,8,2;4,available,5,31,0,0,,,,0,0,provisional_numeric_only_panel_pair,B_numeric,candidate_identity_only_not_model_ready,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-2dbc5d429858c0f88c,ZPC-004253,10.1002/pi.1835,compound 3,compound3,3,4,available,5,31,0,0,,,,0,0,provisional_numeric_only_panel_pair,B_numeric,candidate_identity_only_not_model_ready,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-6066f2aca821b037dc,ZPC-004253,10.1002/pi.1835,compound 4,compound4,3,4,available,5,31,0,0,,,,0,0,provisional_numeric_only_panel_pair,B_numeric,candidate_identity_only_not_model_ready,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-bf25224a98cd1e26d2,ZPC-004253,10.1002/pi.1835,Darocur 1173,darocur1173,1,3,available,5,31,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-14dc4550b0c4925034,ZPC-004394,10.1002/pola.28571,benzophenone,benzophenone,9,1;4,available,4,8,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-da0b8ed42298284a7b,ZPC-005323,10.1002/polb.24891,thioxanthone,thioxanthone,6,1;2;3;7;8,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-cc21558414e39a1163,OA2P-000080,10.1007/s00170-022-08731-1,PI 0,pi0,1,25,available,1,0,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-81400a73c96186dd31,OA2P-000087,10.1007/s40820-020-00577-0,CO2,co2,2,12,available,5,7,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-a5516e3e1ded6213ae,ZPC-005476,10.1016/j.actbio.2010.10.023,Irgacure 2959,irgacure2959,1,6,available,3,0,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-ff6ca0382c148b2874,ZPC-000021,10.1016/j.dental.2015.10.013,CQ,cq,1,7,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-e84320672c6f55f95f,ZPC-000021,10.1016/j.dental.2015.10.013,DMAEMA,dmaema,1,2,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-2065768a4c38a8ddc2,ZPC-000021,10.1016/j.dental.2015.10.013,DPIHP,dpihp,2,10;7,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-a20226c84e279e4512,ZPC-000021,10.1016/j.dental.2015.10.013,EDMAB,edmab,15,10;4;8,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-791296db10715a1d9a,ZPC-000021,10.1016/j.dental.2015.10.013,TTMSS,ttmss,1,10,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-d3e423d688210b2c32,zotero_2SCTZD9L,10.1016/j.dyepig.2017.02.040,Irgacure 2959,irgacure2959,2,5,available,5,11,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-da54801d8f297e0812,zotero_WD4L7CWE,10.1016/j.eurpolymj.2019.109295,BA740,ba740,2,15;16,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-2219a604c8ef37b54b,ZPC-001468,10.1016/j.eurpolymj.2019.109295,TEA,tea,1,20,available,5,13,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-b96775b3cab2362d89,zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,compound 1,compound1,1,3,available,4,3,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-2fdf60bd6fb3e2f85c,zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,thioxanthone,thioxanthone,1,8,available,4,3,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-e35c563211f6a6f64d,ZPC-006106,10.1016/j.eurpolymj.2021.110293,Darocur1173,darocur1173,9,2;3;6,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-8e1db9d4c98a593413,ZPC-006106,10.1016/j.eurpolymj.2021.110293,ZnO-TDI-1173,znotdi1173,1,3,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-c424c9fb41efae8f42,OA2P-000106,10.1016/j.eurpolymj.2023.111883,camphorquinone,camphorquinone,2,13,available,5,42,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-80c712f7d0da19bffb,ZPC-005897,10.1016/j.indcrop.2020.113210,TPOL,tpol,11,3;6,available,5,9,1,1,CCOP(=O)(C(=O)c1c(C)cc(C)cc1C)c1ccccc1,ZMDDERVSCYEKPQ-UHFFFAOYSA-N,C18H21O3P,1,0,provisional_single_strict_panel_structure,B_strict_single,candidate_identity_only_not_model_ready,"PDF page 2; structure bbox (894, 597, 1223, 802); label bbox (1022, 831, 1100, 854)","This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-8e15764522dc236729,ZPC-001187,10.1016/j.jphotochem.2007.03.002,PI 1,pi1,4,6,available,2,3,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-f36457cdfca9a655df,ZPC-001187,10.1016/j.jphotochem.2007.03.002,PI 2,pi2,1,6,available,2,3,0,0,,,,0,0,provisional_numeric_only_panel_pair,B_numeric,candidate_identity_only_not_model_ready,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-33b348e18e67b99637,zotero_MZLGYQTP,10.1016/j.jphotochem.2009.02.007,DMDPI,dmdpi,2,4,available,4,3,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-771b9eb82ecc5b410c,ZPC-006320,10.1016/j.jphotochem.2019.112225,BFC,bfc,1,11,available,5,18,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
