source_id,doi,title,total_record_count,legacy_record_count,automatic_record_count,field_names,evidence_lanes,automatic_statuses,overlap_group_count
ZPC-000028,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,57,0,57,experimental_context; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_numeric_extraction,auto_provisional_accept; auto_retained_context_candidate; auto_retained_low_context_candidate,0
ZPC-000049,10.1039/d4sc03527e,Two- and three-photon processes during photopolymerization in 3D laser printing,47,0,47,experimental_context; pi_loading; sigma_2pa,machine_numeric_extraction,auto_provisional_accept; auto_retained_context_candidate; auto_retained_low_context_candidate,0
ZPC-000385,10.1166/jnn.2013.6011,Two-photon induced photopolymerization using photoinitiator with an intramolecular radical quenching moiety for nanolithography,42,0,42,experimental_context; pi_loading; polymerization_threshold,machine_numeric_extraction,auto_provisional_accept; auto_retained_context_candidate; auto_retained_low_context_candidate,0
ZPC-001953,10.1038/s41598-017-17391-1,Additive manufacture of complex 3D Au-containing nanocomposites by simultaneous two-photon polymerisation and photoreduction,105,0,105,experimental_context; pi_loading; polymerization_threshold; voxel_geometry,machine_numeric_extraction,auto_provisional_accept; auto_retained_context_candidate; auto_retained_low_context_candidate,0
ZPC-005664,10.3390/polym12112485,Fabrication of sub-micron polymer waveguides through two-photon polymerization in polydimethylsiloxane,63,0,63,experimental_context; pi_loading; polymerization_threshold,machine_numeric_extraction,auto_provisional_accept; auto_retained_context_candidate; auto_retained_low_context_candidate,0
zotero_2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,19,0,19,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,9,0,9,mechanism; pi_loading; polymerization_threshold; sigma_2pa,machine_text_anchor,auto_anchor_candidate,0
zotero_3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,17,0,17,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,20,0,20,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_5TV7FKVK,10.1016/j.eurpolymj.2024.113176,Efficient and safe coumarin-carbazole-based oxime esters for one/two-photon polymerization of LEDs/NIR light,16,0,16,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_62KD2ECJ,10.1016/j.eurpolymj.2021.110525,"One/two-photon sensitive sulfonium salt photoinitiators based on 1,3,5-triphenyl-2-pyrazoline",13,0,13,mechanism; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_6ZQ3VP63,10.1038/17989,Two-photon polymerization initiators for three-dimensional optical data storage and microfabrication,32,18,14,damage_threshold_power; focal_spot_radial_size; laser_wavelength; mechanism; pi_loading; polymerization_threshold; polymerization_threshold_energy; pulse_duration; pulse_repetition_rate; sigma_2pa; substrate_translation_speed; voxel_geometry; writing_threshold_power,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_87BWABRN,10.1039/c4tc00706a,Two-photon lithography in visible and NIR ranges using multibranched-based sensitizers for efficient acid generation,15,0,15,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_95TT3IKI,10.1016/j.jphotochem.2007.03.002,"Synthesis, optical and initiating properties of new two-photon polymerization initiators: 2,7-Bis(styryl)anthraquinone derivatives",31,12,19,compound_identity; isc_t1_proxy; line_width; mechanism; pi_loading; polymerization_threshold; polymerization_threshold_power; scanning_speed; sigma_2pa; voxel_geometry,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,Imidazole-containing photoinitiators for fabrication of sub-micron structures by 3D two-photon polymerization,15,0,15,mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_A8D94H4N,10.1063/1.2717532,Improving spatial resolution of two-photon microfabrication by using photoinitiator with high initiating efficiency,12,0,12,polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_AU74BQZ6,10.37188/lam.2023.004,Two-photon photopolymerization directly initiated by spiropyran photochromic molecules,19,0,19,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_B6B7CEZ3,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution,21,0,21,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,15,6,9,average_laser_power; feature_size_minimum; focal_spot_radial_size; isc_t1_proxy; mechanism; minimum_exposure_time; pi_loading; point_spacing; polymerization_threshold; sigma_2pa; threshold_exposure; voxel_geometry,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_D3WL6CAT,10.1038/s41377-023-01188-1,A new function of photochromic spiropyran: an efficient photoinitiator for two-photon polymerization,7,0,7,isc_t1_proxy; mechanism; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_D47BE9ZL,10.1166/jnn.2013.6011,Two-photon induced photopolymerization using photoinitiator with an intramolecular radical quenching moiety for nanolithography,8,0,8,polymerization_threshold; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_D6JVVDG4,,"An Evidence-Guided, Mechanism-Aware Workflow for Functional Molecular Materials Discovery: Two-Photon Photoinitiators as a Demonstration",16,0,16,isc_t1_proxy; mechanism; polymerization_threshold; sigma_2pa,machine_text_anchor,auto_anchor_candidate,0
zotero_DV89B7W8,10.2217/rme.13.60,Two-photon polymerization of polyethylene glycol diacrylate scaffolds with riboflavin and triethanolamine used as a water-soluble photoinitiator,16,0,16,isc_t1_proxy; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_G6JRPM8H,10.1039/c9cc02923k,A two-photon active chevron-shaped type i photoinitiator designed for 3D stereolithography,16,0,16,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_GAG9RQRT,10.1364/AO.54.007020,"Study of the two-photon excitation of photoinitiator in various solvents, and the two-photon polymerization process",15,0,15,mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_H5G5DD8B,10.1002/polb.24891,Tailored thioxanthone-based photoinitiators for two-photon-controllable polymerization and nanolithographic printing,20,0,20,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_H86SV53N,10.1021/la803803m,Three-dimensional biodegradable structures fabricated by two-photon polymerization,16,12,4,feature_resolution_scale; laser_output_power_maximum; laser_wavelength; objective_magnification; objective_na; photoinitiator; pi_loading; polymer_mass; polymerization_threshold; pulse_duration; pulse_repetition_rate; sample_spacer_thickness; solvent_volume; voxel_geometry,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_IMCYIYET,,Evidence guided mechanism aware workflow for two photon photoinitiator discovery,16,0,16,isc_t1_proxy; mechanism; polymerization_threshold; sigma_2pa,machine_text_anchor,auto_anchor_candidate,0
zotero_INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,36,16,20,fabrication_condition; height_experimental; laser_power_test_levels; laser_wavelength; mechanism; objective_na; pi_loading; polymerization_threshold; pulse_repetition_rate; pulse_width; scanning_speed_test_levels; sigma_2pa; voxel_geometry; width_experimental,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_IYEGSI2X,10.1016/j.apsusc.2007.08.011,Functional polymers by two-photon 3D lithography,11,5,6,feature_resolution_scale; pi_loading; pi_loading_relative_claim; processing_wavelength_range; refractive_index_change; sigma_2pa; voxel_geometry,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_KGWA2AJ6,10.1007/s00339-007-4367-0,Two-photon absorption spectrum of the photoinitiator Lucirin TPO-L,8,0,8,isc_t1_proxy; polymerization_threshold; sigma_2pa,machine_text_anchor,auto_anchor_candidate,0
