item_id,item_type,human_readable_name,machine_readable_field,definition,original_unit,training_unit,valid_label_count,valid_label_count_scope,transformation,inverse_transformation,invalid_value_handling,source,evidence_summary,scientific_rationale,normalized_rule,missing_value_rule,model_scope,computational_use,downstream_use,implementation_status,evaluation_status
EP001,endpoint,Two-photon absorption cross-section at 780 nm,sigma_780,Dataset-provided two-photon absorption cross-section at 780 nm; used as an operating-wavelength optical-response proxy.,GM,dimensionless standardised target supplied to the frozen D06/F06 assets,209162,"frozen deployment corpus across train, validation and outer-test splits (n = 209,162 molecular records)",y_train = 2.790435040000 * log10(1 + y_raw) - 5.451208370000,y_raw = 10 ** ((y_train + 5.451208370000) / 2.790435040000) - 1,"Blank, non-numeric or non-finite values are retained as missing task cells. Values below 0 are outside the physical domain. Negative inverse-transformed predictions are flagged as domain violations and clipped to 0 only for physical-unit reporting.","QuantumChem-200K source export, field `sigma_780_GM`; rationale sources SRC003;SRC004;SRC025",operating-wavelength optical-response proxy,operating-wavelength optical-response proxy,Include sigma_780 in the six-task predictive profile; do not interpret it as direct polymerisation performance.,task-cell masking; no molecule deletion,D06; F06,multitask target,six-task prediction and candidate risk control,implemented_in_frozen_deployment_models,scaffold-disjoint outer-test results available; strict-clean retraining retained as a separate sensitivity audit
EP002,endpoint,Maximum two-photon absorption cross-section,sigma_max,Maximum dataset-provided two-photon absorption cross-section over the source wavelength range; used for optical screening and independent optical comparison.,GM,dimensionless standardised target supplied to the frozen D06/F06 assets,209162,"frozen deployment corpus across train, validation and outer-test splits (n = 209,162 molecular records)",y_train = 2.888623590000 * log10(1 + y_raw) - 5.953260610000,y_raw = 10 ** ((y_train + 5.953260610000) / 2.888623590000) - 1,"Blank, non-numeric or non-finite values are retained as missing task cells. Values below 0 are outside the physical domain. Negative inverse-transformed predictions are flagged as domain violations and clipped to 0 only for physical-unit reporting.","QuantumChem-200K source export, field `maximum_sigma`; rationale sources SRC003;SRC004;SRC025",optical-screening and external-optical-comparison proxy,optical-screening and external-optical-comparison proxy,Include sigma_max in the six-task predictive profile; do not interpret it as direct polymerisation performance.,task-cell masking; no molecule deletion,D06; F06,multitask target,six-task prediction and candidate risk control,implemented_in_frozen_deployment_models,scaffold-disjoint outer-test results available; strict-clean retraining retained as a separate sensitivity audit
EP003,endpoint,Toxicity-related risk proxy,toxicity,Dataset-provided bounded toxicity-related score used as a comparative risk proxy; it is not an experimental toxicological endpoint.,dimensionless dataset score,dimensionless standardised target supplied to the frozen D06/F06 assets,209162,"frozen deployment corpus across train, validation and outer-test splits (n = 209,162 molecular records)",y_train = 10.762056578107 * y_raw - 6.389614280031,y_raw = (y_train + 6.389614280031) / 10.762056578107,"Blank, non-numeric or non-finite values are retained as missing task cells. No post-inverse physical clipping is applied; out-of-support predictions require risk review.","QuantumChem-200K source export, field `toxicity_score`; rationale sources SRC001;SRC002",application and safety risk proxy,application and safety risk proxy,Include toxicity in the six-task predictive profile; do not interpret it as direct polymerisation performance.,task-cell masking; no molecule deletion,D06; F06,multitask target,six-task prediction and candidate risk control,implemented_in_frozen_deployment_models,scaffold-disjoint outer-test results available; strict-clean retraining retained as a separate sensitivity audit
EP004,endpoint,Solubility/formulation proxy,solubility,Dataset-provided solubility value used as a formulation-relevance proxy; the source-aligned unit is micrograms per millilitre.,µg mL−1,dimensionless standardised target supplied to the frozen D06/F06 assets,127943,"frozen deployment corpus across train, validation and outer-test splits (n = 209,162 molecular records)",y_train = 0.623885502927 * log10(1 + y_raw) - 2.329094077558,y_raw = 10 ** ((y_train + 2.329094077558) / 0.623885502927) - 1,"Blank, non-numeric or non-finite values are retained as missing task cells. Values below 0 are outside the physical domain. Negative inverse-transformed predictions are flagged as domain violations and clipped to 0 only for physical-unit reporting. The historical local unit token `ug/mol` was corrected to the source-aligned `ug/ml` without changing numeric values.","QuantumChem-200K source export, field `solubility`; source-aligned unit audit; rationale sources SRC001;SRC002;SRC003",formulation-compatibility proxy,formulation-compatibility proxy,Include solubility in the six-task predictive profile; do not interpret it as direct polymerisation performance.,task-cell masking; no molecule deletion,D06; F06,multitask target,six-task prediction and candidate risk control,implemented_in_frozen_deployment_models,scaffold-disjoint outer-test results available; strict-clean retraining retained as a separate sensitivity audit
EP005,endpoint,Synthetic-accessibility proxy,synthetic_accessibility,"Dataset-provided normalised SA_score on the local 0–1 scale, where lower raw values indicate easier synthesis; it is not the conventional 1–10 Ertl SA score.",dimensionless dataset score,dimensionless standardised target supplied to the frozen D06/F06 assets,209162,"frozen deployment corpus across train, validation and outer-test splits (n = 209,162 molecular records)",y_train = 8.109353707694 * y_raw - 1.071875495570,y_raw = (y_train + 1.071875495570) / 8.109353707694,"Blank, non-numeric or non-finite values are retained as missing task cells. Values outside the observed 0–1 local score scale require review; no post-inverse clipping is applied.","QuantumChem-200K source export, field `SA_score`; project-design feasibility proxy",materialisation-feasibility proxy,materialisation-feasibility proxy,Include synthetic_accessibility in the six-task predictive profile; do not interpret it as direct polymerisation performance.,task-cell masking; no molecule deletion,D06; F06,multitask target,six-task prediction and candidate risk control,implemented_in_frozen_deployment_models,scaffold-disjoint outer-test results available; strict-clean retraining retained as a separate sensitivity audit
EP006,endpoint,Intersystem-crossing-related energy proxy,isc_energy,"Dataset-provided ISC-related energy value used as a photochemical proxy; it is not an ISC rate, quantum yield, spin–orbit coupling or mechanism label.",eV,dimensionless standardised target supplied to the frozen D06/F06 assets,129671,"frozen deployment corpus across train, validation and outer-test splits (n = 209,162 molecular records)",y_train = 32.625253157171 * y_raw - 5.670005187283,y_raw = (y_train + 5.670005187283) / 32.625253157171,"Blank, non-numeric or non-finite values are retained as missing task cells. No post-inverse physical clipping is applied; values outside the training support require review.","QuantumChem-200K source export, field `ISC_eV`; rationale sources SRC003;SRC004",photochemical and mechanism-related proxy,photochemical and mechanism-related proxy,Include isc_energy in the six-task predictive profile; do not interpret it as direct polymerisation performance.,task-cell masking; no molecule deletion,D06; F06,multitask target,six-task prediction and candidate risk control,implemented_in_frozen_deployment_models,scaffold-disjoint outer-test results available; strict-clean retraining retained as a separate sensitivity audit
REP000,representation,Chemprop molecular graph,molecular_graph,Learned atom-and-bond graph representation shared by D06 and F06.,not applicable,Chemprop graph features,not applicable,not applicable,Chemprop graph featurisation,not applicable,invalid molecular records excluded upstream,canonical molecular input,Atom and bond connectivity form the learned representation shared by D06 and F06.,structure-based molecular learning,Use the molecular graph in both frozen final models.,invalid molecular records excluded upstream,D06; F06,shared learned representation,frozen D06/F06 model inputs,implemented_in_frozen_final_models,included in final outer-test evaluation
REP001,representation,Global size descriptor,molecular_weight,Global size descriptor,descriptor-defined,model-configured descriptor value,not applicable,not applicable,model-configured,not applicable,feature-pipeline validation,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,Global size descriptor,Compute molecular_weight as a continuous molecular descriptor.,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP002,representation,Global complexity descriptor,heavy_atom_count,Global complexity descriptor,descriptor-defined,model-configured descriptor value,not applicable,not applicable,model-configured,not applicable,feature-pipeline validation,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,Global complexity descriptor,Compute heavy_atom_count as a continuous molecular descriptor.,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP003,representation,Structural cyclicity descriptor,ring_count,Structural cyclicity descriptor,descriptor-defined,model-configured descriptor value,not applicable,not applicable,model-configured,not applicable,feature-pipeline validation,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,Structural cyclicity descriptor,Compute ring_count as a continuous molecular descriptor.,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
