priority,source_id,zotero_key,doi,title,year,journal,item_type,study_type,relevance_score,collection_keys,child_count,local_pdf_count,local_pdf_attachment_keys,local_pdf_paths,local_pdf_sha256,local_pdf_bytes,acquisition_status,selection_reason,resolution_source,resolved_at_utc,openalex_id,openalex_doi,matched_title,match_method,oa_is_oa,oa_status,best_oa_pdf_url,best_oa_reported_asset_url,best_oa_content_type,best_oa_http_status,best_oa_probe_status,best_oa_landing_url,best_oa_version,best_oa_license,best_oa_source,primary_landing_url,oa_locations_json,resolution_status
51,zotero_IMP7ZNX3,IMP7ZNX3,10.1016/j.dyepig.2016.06.023,One/two-photon cationic polymerization in visible and near infrared ranges using two-branched sulfonium salts as efficient photoacid generators,2016,Dyes and Pigments,journalArticle,primary_or_methods,29,YCCIU4QW,2,0,,,,,legal_source_lookup_required,rank=29; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2434182407,https://doi.org/10.1016/j.dyepig.2016.06.023,One/two-photon cationic polymerization in visible and near infrared ranges using two-branched sulfonium salts as efficient photoacid generators,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1016/j.dyepig.2016.06.023,,,,https://doi.org/10.1016/j.dyepig.2016.06.023,[],oa_landing_candidate
52,zotero_T6JEH49G,T6JEH49G,10.1039/c4py00424h,π-Conjugated sulfonium-based photoacid generators: An integrated molecular approach for efficient one and two-photon polymerization,2014,Polymer Chemistry,journalArticle,primary_or_methods,29,YCCIU4QW,3,0,,,,,legal_source_lookup_required,rank=29; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2118805552,https://doi.org/10.1039/c4py00424h,π-conjugated sulfonium-based photoacid generators: an integrated molecular approach for efficient one and two-photon polymerization,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1039/c4py00424h,,,,https://doi.org/10.1039/c4py00424h,[],oa_landing_candidate
53,zotero_F3Z8Z2W6,F3Z8Z2W6,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,2023-08,Journal of Photochemistry and Photobiology A: Chemistry,journalArticle,primary_or_methods,28,QJ3E9TKV,0,0,,,,,legal_source_lookup_required,rank=28; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4362511142,https://doi.org/10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,doi_exact,True,hybrid,,https://ars.els-cdn.com/content/image/1-s2.0-S1010603023002083-ga1_lrg.jpg,image/jpeg,200,head_ok,https://doi.org/10.1016/j.jphotochem.2023.114743,publishedVersion,cc-by,Journal of Photochemistry and Photobiology A Chemistry,https://doi.org/10.1016/j.jphotochem.2023.114743,"[{""landing_page_url"": ""https://doi.org/10.1016/j.jphotochem.2023.114743"", ""pdf_url"": ""https://ars.els-cdn.com/content/image/1-s2.0-S1010603023002083-ga1_lrg.jpg"", ""is_oa"": true, ""version"": ""publishedVersion"", ""license"": ""cc-by"", ""source_name"": ""Journal of Photochemistry and Photobiology A Chemistry"", ""source_type"": ""journal"", ""source_is_in_doaj"": false}, {""landing_page_url"": ""https://www.db-thueringen.de/receive/dbt_mods_00059979"", ""pdf_url"": ""https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00062636/1-s2.0-S1010603023002083-main.pdf"", ""is_oa"": true, ""version"": ""submittedVersion"", ""license"": ""cc-by"", ""source_name"": ""Common Library Network (Der Gemeinsame Bibliotheksverbund)"", ""source_type"": ""repository"", ""source_is_in_doaj"": false}]",oa_asset_nonpdf
54,zotero_ERXDCAS7,ERXDCAS7,10.1002/chem.202104191,From Light to Structure: Photo Initiators for Radical Two-Photon Polymerization,2022-04,Chemistry - A European Journal,journalArticle,primary_or_methods,28,QJ3E9TKV;9VX6JEEV,0,0,,,,,legal_source_lookup_required,rank=28; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4214604938,https://doi.org/10.1002/chem.202104191,From Light to Structure: Photo Initiators for Radical Two‐Photon Polymerization,doi_exact,True,green,,,,,not_probed,https://www.ncbi.nlm.nih.gov/pmc/articles/9324900,submittedVersion,other-oa,PubMed Central,https://doi.org/10.1002/chem.202104191,"[{""landing_page_url"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/9324900"", ""pdf_url"": """", ""is_oa"": true, ""version"": ""submittedVersion"", ""license"": ""other-oa"", ""source_name"": ""PubMed Central"", ""source_type"": ""repository"", ""source_is_in_doaj"": false}]",oa_landing_candidate
55,zotero_WDS2AJMV,WDS2AJMV,10.1002/cjoc.70529,Alkyl/cycloketonic modulations in photoinitiator molecular engineering for efficient multiphoton polymerization†,2026,Chinese Journal of Chemistry,journalArticle,primary_or_methods,26,YCCIU4QW;Z2CXQVDU,1,0,,,,,legal_source_lookup_required,rank=26; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W7134953143,https://doi.org/10.1002/cjoc.70529,Alkyl/Cycloketonic Modulations in Photoinitiator Molecular Engineering for Efficient Multiphoton Polymerization †,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1002/cjoc.70529,,,,https://doi.org/10.1002/cjoc.70529,[],oa_landing_candidate
56,zotero_X93SDATL,X93SDATL,10.18063/ijb.752,Synthesis of biocompatible BSA-GMA and two-photon polymerization of 3D hydrogels with free radical type I photoinitiator,2023,INTERNATIONAL JOURNAL OF BIOPRINTING,journalArticle,primary_or_methods,26,Z2CXQVDU,1,0,,,,,legal_source_lookup_required,rank=26; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4376614447,https://doi.org/10.18063/ijb.752,Synthesis of biocompatible BSA-GMA and two-photon polymerization of 3D hydrogels with free radical type I photoinitiator,doi_exact,True,diamond,,,,,not_probed,https://doi.org/10.18063/ijb.752,publishedVersion,cc-by,International Journal of Bioprinting,https://doi.org/10.18063/ijb.752,"[{""landing_page_url"": ""https://doi.org/10.18063/ijb.752"", ""pdf_url"": """", ""is_oa"": true, ""version"": ""publishedVersion"", ""license"": ""cc-by"", ""source_name"": ""International Journal of Bioprinting"", ""source_type"": ""journal"", ""source_is_in_doaj"": false}, {""landing_page_url"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/10339419"", ""pdf_url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC10339419/pdf/IJB-9-5-752.pdf"", ""is_oa"": true, ""version"": ""submittedVersion"", ""license"": ""cc-by"", ""source_name"": ""PubMed Central"", ""source_type"": ""repository"", ""source_is_in_doaj"": false}]",oa_landing_candidate
57,zotero_W34GJWXV,W34GJWXV,10.1016/j.jphotochem.2010.07.016,Two-photon polymerization of a diacrylate using fluorene photoinitiators-sensitizers,SEP 5 2010,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,journalArticle,primary_or_methods,26,IJ7VTZ4F,2,0,,,,,legal_source_lookup_required,rank=26; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W1998773735,https://doi.org/10.1016/j.jphotochem.2010.07.016,Two-photon polymerization of a diacrylate using fluorene photoinitiators–sensitizers,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1016/j.jphotochem.2010.07.016,,,,https://doi.org/10.1016/j.jphotochem.2010.07.016,[],oa_landing_candidate
58,zotero_Y9LBCT6W,Y9LBCT6W,10.1016/j.eurpolymj.2025.114046,"Novel indane-1,3-dione derivatives as photoinitiators for one- and two-photon photopolymerization",JUL 18 2025,EUROPEAN POLYMER JOURNAL,journalArticle,primary_or_methods,25,Z2CXQVDU,0,0,,,,,legal_source_lookup_required,rank=25; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4410796160,https://doi.org/10.1016/j.eurpolymj.2025.114046,"Novel indane-1,3-dione derivatives as photoinitiators for one- and two-photon photopolymerization",doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1016/j.eurpolymj.2025.114046,,,,https://doi.org/10.1016/j.eurpolymj.2025.114046,[],oa_landing_candidate
59,zotero_RYHTRLJR,RYHTRLJR,10.1021/acsapm.5c01802,High- and low-fluorescent photoinitiators for multiphoton lithography,AUG 8 2025,ACS APPLIED POLYMER MATERIALS,journalArticle,primary_or_methods,25,K4R6WH4Z,0,0,,,,,legal_source_lookup_required,rank=25; matched=photoinitiator; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4412773871,https://doi.org/10.1021/acsapm.5c01802,High- and Low-Fluorescent Photoinitiators for Multiphoton Lithography,doi_exact,True,hybrid,,,,,not_probed,https://doi.org/10.1021/acsapm.5c01802,publishedVersion,cc-by,ACS Applied Polymer Materials,https://doi.org/10.1021/acsapm.5c01802,"[{""landing_page_url"": ""https://doi.org/10.1021/acsapm.5c01802"", ""pdf_url"": """", ""is_oa"": true, ""version"": ""publishedVersion"", ""license"": ""cc-by"", ""source_name"": ""ACS Applied Polymer Materials"", ""source_type"": ""journal"", ""source_is_in_doaj"": false}, {""landing_page_url"": ""https://hal.science/hal-05557643"", ""pdf_url"": ""https://hal.science/hal-05557643v1/file/high-and-low-fluorescent-photoinitiators-for-multiphoton-lithography.pdf"", ""is_oa"": true, ""version"": ""submittedVersion"", ""license"": ""cc-by"", ""source_name"": ""HAL (Le Centre pour la Communication Scientifique Directe)"", ""source_type"": ""repository"", ""source_is_in_doaj"": false}, {""landing_page_url"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/12340759"", ""pdf_url"": """", ""is_oa"": true, ""version"": ""submittedVersion"", ""license"": ""cc-by"", ""source_name"": ""PubMed Central"", ""source_type"": ""repository"", ""source_is_in_doaj"": false}]",oa_landing_candidate
60,zotero_KGTMFSEV,KGTMFSEV,10.3390/polym15010071,Benzylidene cyclopentanone derivative photoinitiator for two-photon photopolymerization-photochemistry and 3D structures fabrication for x-ray application,2023-01,POLYMERS,journalArticle,primary_or_methods,25,UIAXPZ69,0,0,,,,,legal_source_lookup_required,rank=25; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4312204208,https://doi.org/10.3390/polym15010071,Benzylidene Cyclopentanone Derivative Photoinitiator for Two-Photon Photopolymerization-Photochemistry and 3D Structures Fabrication for X-ray Application,doi_exact,True,gold,https://www.mdpi.com/2073-4360/15/1/71/pdf?version=1671875597,https://www.mdpi.com/2073-4360/15/1/71/pdf?version=1671875597,application/pdf,200,head_ok,https://doi.org/10.3390/polym15010071,publishedVersion,cc-by,Polymers,https://doi.org/10.3390/polym15010071,"[{""landing_page_url"": ""https://doi.org/10.3390/polym15010071"", ""pdf_url"": ""https://www.mdpi.com/2073-4360/15/1/71/pdf?version=1671875597"", ""is_oa"": true, ""version"": ""publishedVersion"", ""license"": ""cc-by"", ""source_name"": ""Polymers"", ""source_type"": ""journal"", ""source_is_in_doaj"": false}, {""landing_page_url"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/9823431"", ""pdf_url"": """", ""is_oa"": true, ""version"": ""submittedVersion"", ""license"": ""cc-by"", ""source_name"": ""PubMed Central"", ""source_type"": ""repository"", ""source_is_in_doaj"": false}]",oa_pdf_candidate
