mechanism_rule_id,source_id,source_doi,source_title,mechanism_lane,family_scope,evidence_summary,normalized_field,normalized_rule,routing_rule,exclusion_rule,computational_use,downstream_asset,evidence_level,status,provenance_path
MR0001,P0023,10.1021/ma301770a,ma301770a 1..10,Type-I,acylphosphine_oxide,Acylphosphine oxide motifs remain close-analogue keep motifs for radical initiation even when not optimized for classic 2PP.,mechanism_lane;family_scope;coinitiator_context,Route acylphosphine_oxide to Type-I subject to the recorded claim limit.,round29_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,close_analogue,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0002,P0025,10.1038/s41598-018-35301-x,"Wavelength-optimized Two-Photon Polymerization Using Initiators Based on Multipolar Aminostyryl-1,3,5-triazines | formula cross-checked as C21H30N4. | formula cross-checked as C36H51N5. | formula cross-checked as C51H72N6. | manual curated exact structure from Figure 1 plus synthesis description of the original paper | manual curated exact structure from Figure 1 plus synthesis/HRMS section of the original paper | manual curated exact structure from Figure 1 plus synthesis/elemental-analysis section of the original paper",SET/PET_or_optical,aminostyryl_triazine,"Multipolar aminostyryl-triazine motifs remain priority core motifs when donor-rich styryl arms are paired with a 1,3,5-triazine acceptor core and direct 2PP precedent.",mechanism_lane;family_scope;coinitiator_context,Route aminostyryl_triazine to SET/PET_or_optical subject to the recorded claim limit.,round29_direct_lane,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0003,P0010,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,Type-II,benzophenone,Benzophenone-like initiating centers with donor decoration remain priority motifs for organic resin mode 2PI screening.,mechanism_lane;family_scope;coinitiator_context,Route benzophenone to Type-II subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0004,P0007,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,Type-II_or_optical_boundary,benzylidene_cycloketone,Benzylidene cycloketone scaffolds with strong push-pull D-pi-A-pi-D design remain priority motifs when 2PA-compatible conjugation and processability support are present.,mechanism_lane;family_scope;coinitiator_context,Route benzylidene_cycloketone to Type-II_or_optical_boundary subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0005,P0019,10.1021/acsapm.3c00141,Ketocoumarin-Based Photoinitiators for High-Sensitivity Two-Photon Lithography,Type-II,ketocoumarin,Ketocoumarin-like fused donor-acceptor motifs remain priority motifs for high-sensitivity two-photon lithography candidates.,mechanism_lane;family_scope;coinitiator_context,Route ketocoumarin to Type-II subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0006,P0003,10.1002/chem.202104191,From Light to Structure: Photo Initiators for Radical Two‐Photon Polymerization,Type-I,oxime_ester,Oxime ester initiating motifs remain priority motifs because cleavage-centered Type I initiation is repeatedly used in photoinitiator design.,mechanism_lane;family_scope;coinitiator_context,Route oxime_ester to Type-I subject to the recorded claim limit.,round29_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0007,P0018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution | manual curated exact structure derived from systematic name in paper text and cross-checked against Figure 1 of doi_10_1021_acsapm_0c01291,Type-II,thioxanthone,Thioxanthone-like chromophores with extended conjugation remain priority motifs when donor substitution and 2PA matching are present.,mechanism_lane;family_scope;coinitiator_context,Route thioxanthone to Type-II subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0008,P0025,10.1038/s41598-018-35301-x,"Wavelength-optimized Two-Photon Polymerization Using Initiators Based on Multipolar Aminostyryl-1,3,5-triazines | formula cross-checked as C21H30N4. | formula cross-checked as C36H51N5. | formula cross-checked as C51H72N6. | manual curated exact structure from Figure 1 plus synthesis description of the original paper | manual curated exact structure from Figure 1 plus synthesis/HRMS section of the original paper | manual curated exact structure from Figure 1 plus synthesis/elemental-analysis section of the original paper",SET/PET_or_optical,aminostyryl_triazine,"Multipolar aminostyryl-triazine motifs remain priority core motifs when donor-rich styryl arms are paired with a 1,3,5-triazine acceptor core and direct 2PP precedent.",mechanism_lane;family_scope;coinitiator_context,Route aminostyryl_triazine to SET/PET_or_optical subject to the recorded claim limit.,round29_direct_lane,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0009,P0029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,boundary_excluded,aryliodonium,Aryliodonium motifs are out-of-scope benchmark/watchlist anchors for cationic or photosensitized photoinitiating systems and should not be promoted into the donor-rich radical 2PI core by onium identity alone.,mechanism_lane;family_scope;coinitiator_context,Route aryliodonium to boundary_excluded subject to the recorded claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,motif_level_support,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0010,P0010,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,Type-II,benzophenone,Benzophenone-like initiating centers with donor decoration remain priority motifs for organic resin mode 2PI screening.,mechanism_lane;family_scope;coinitiator_context,Route benzophenone to Type-II subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
