mechanism_rule_id,source_id,source_doi,source_title,mechanism_lane,family_scope,evidence_summary,normalized_rule,routing_rule,exclusion_or_claim_limit,coinitiator_context,computational_use,downstream_use,evidence_level,status
MR001,SRC023,10.1021/ma301770a,A Straightforward Synthesis and Structure–Activity Relationship of Highly Efficient Initiators for Two-Photon Polymerization,Type-I,acylphosphine_oxide,Acylphosphine oxide motifs remain close-analogue keep motifs for radical initiation even when not optimized for classic 2PP.,Route acylphosphine_oxide to Type-I subject to the recorded context and claim limit.,final slate_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",none implied only for intact Type-I cleavage cores,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,close_analogue,traceable_decision_rule
MR002,SRC025,10.1038/s41598-018-35301-x,"Wavelength-optimized Two-Photon Polymerization Using Initiators Based on Multipolar Aminostyryl-1,3,5-triazines",SET/PET_or_optical,aminostyryl_triazine,"Multipolar aminostyryl-triazine motifs remain priority core motifs when donor-rich styryl arms are paired with a 1,3,5-triazine acceptor core and direct 2PP precedent.",Route aminostyryl_triazine to SET/PET_or_optical subject to the recorded context and claim limit.,final slate_direct_lane,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",explicit donor-acceptor pair or coinitiator required for ET claims,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR003,SRC010,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,Type-II,benzophenone,Benzophenone-like initiating centers with donor decoration remain priority motifs for organic resin mode 2PI screening.,Route benzophenone to Type-II subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR004,SRC007,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,Type-II_or_optical_boundary,benzylidene_cycloketone,Benzylidene cycloketone scaffolds with strong push-pull D-pi-A-pi-D design remain priority motifs when 2PA-compatible conjugation and processability support are present.,Route benzylidene_cycloketone to Type-II_or_optical_boundary subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR005,SRC019,10.1021/acsapm.3c00141,Ketocoumarin-Based Photoinitiators for High-Sensitivity Two-Photon Lithography,Type-II,ketocoumarin,Ketocoumarin-like fused donor-acceptor motifs remain priority motifs for high-sensitivity two-photon lithography candidates.,Route ketocoumarin to Type-II subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR006,SRC003,10.1002/chem.202104191,From Light to Structure: Photo Initiators for Radical Two‐Photon Polymerization,Type-I,oxime_ester,Oxime ester initiating motifs remain priority motifs because cleavage-centered Type I initiation is repeatedly used in photoinitiator design.,Route oxime_ester to Type-I subject to the recorded context and claim limit.,final slate_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",none implied only for intact Type-I cleavage cores,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR007,SRC018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution,Type-II,thioxanthone,Thioxanthone-like chromophores with extended conjugation remain priority motifs when donor substitution and 2PA matching are present.,Route thioxanthone to Type-II subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR008,SRC025,10.1038/s41598-018-35301-x,"Wavelength-optimized Two-Photon Polymerization Using Initiators Based on Multipolar Aminostyryl-1,3,5-triazines",SET/PET_or_optical,aminostyryl_triazine,"Multipolar aminostyryl-triazine motifs remain priority core motifs when donor-rich styryl arms are paired with a 1,3,5-triazine acceptor core and direct 2PP precedent.",Route aminostyryl_triazine to SET/PET_or_optical subject to the recorded context and claim limit.,final slate_direct_lane,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",explicit donor-acceptor pair or coinitiator required for ET claims,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR009,SRC029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,boundary_excluded,aryliodonium,Aryliodonium motifs are out-of-scope benchmark/watchlist anchors for cationic or photosensitized photoinitiating systems and should not be promoted into the donor-rich radical 2PI core by onium identity alone.,Route aryliodonium to boundary_excluded subject to the recorded context and claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",not applicable,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,motif_level_support,traceable_decision_rule
MR010,SRC010,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,Type-II,benzophenone,Benzophenone-like initiating centers with donor decoration remain priority motifs for organic resin mode 2PI screening.,Route benzophenone to Type-II subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
