source_id,doi,title,year,journal,source_type,topic_scope,evidence_record_count,evidence_location,evidence_use_summary,metadata_status,status,zotero_keys,candidate_anchor_count,audited_evidence_count,zotero_parse_status,doi_merge_relation
SRC001,10.1002/adem.201600686,Optimized Photoinitiator for Fast Two‐Photon Absorption Polymerization of Polyester‐Macromers for Tissue Engineering,2017,Advanced Engineering Materials,journal-article,Type-I; boundary_excluded,6,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,BIEC6L3B,0,0,not_started,doi_overlap_with_zotero
SRC002,10.1002/adfm.202212641,Multiphoton Lithography as a Promising Tool for Biomedical Applications,2023,Advanced Functional Materials,journal-article,2PP;TPP;bio; TPP-specific; Type-I; Type-II_or_optical_boundary; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC003,10.1002/chem.202104191,From Light to Structure: Photo Initiators for Radical Two‐Photon Polymerization,2022,Chemistry – A European Journal,journal-article,2PP;FRP;LED;TPP;bio;cationic; Type-I; boundary_excluded; mixed_or_unknown,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,ERXDCAS7,0,0,not_started,doi_overlap_with_zotero
SRC004,10.1002/cptc.201900164,Cleavable Unimolecular Photoinitiators Based on Oxime‐Ester Chemistry for Two‐Photon Three‐Dimensional Printing,2019,ChemPhotoChem,journal-article,2PP;FRP;TPP; Type I; Type-I; boundary_excluded,9,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC005,10.1002/cptc.201900246,Conjugated Bifunctional Carbazole‐Based Oxime Esters: Efficient and Versatile Photoinitiators for 3D Printing under One‐ and Two‐Photon Excitation,2020,ChemPhotoChem,journal-article,2PP;FRP;LED;TPP; Type I; Type-I; boundary_excluded,9,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,E8HE3DYQ,0,0,not_started,doi_overlap_with_zotero
SRC006,10.1002/polb.24891,Tailored thioxanthone‐based photoinitiators for two‐photon‐controllable polymerization and nanolithographic printing,2019,Journal of Polymer Science Part B: Polymer Physics,journal-article,Type-I; Type-II; boundary_excluded,7,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,H5G5DD8B,20,0,parsed,doi_overlap_with_zotero
SRC007,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,2023,Journal of Photochemistry and Photobiology A: Chemistry,journal-article,Type-I; Type-II_or_optical_boundary; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,F3Z8Z2W6,0,0,not_started,doi_overlap_with_zotero
SRC008,10.1016/s1010-6030(03)00030-3,Design and application of high-sensitivity two-photon initiators for three-dimensional microfabrication,2003,Journal of Photochemistry and Photobiology A: Chemistry,journal-article,Type-I; boundary_excluded,6,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC009,10.1021/acs.analchem.0c04540,Determination of Photoinduced Radical Generation Quantum Efficiencies by Combining Chemical Actinometry and 19F NMR Spectroscopy,2021,Analytical Chemistry,journal-article,Type-I; Type-II; boundary_excluded,7,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC010,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,2020,Macromolecules,journal-article,LED;TPP;cationic; TPP-specific; Type-I; Type-II; boundary_excluded,9,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,SRU6DZHE,21,4,parsed,doi_overlap_with_zotero
SRC011,10.1021/acs.macromol.5b00201,"Structure Design of Naphthalimide Derivatives: Toward Versatile Photoinitiators for Near-UV/Visible LEDs, 3D Printing, and Water-Soluble Photoinitiating Systems",2015,Macromolecules,journal-article,Type-I; Type-II_or_optical_boundary; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC012,10.1021/acs.macromol.5b00336,"Donor–Acceptor Type Thioxanthones: Synthesis, Optical Properties, and Two-Photon Induced Polymerization",2015,Macromolecules,journal-article,Type-I; Type-II; boundary_excluded,7,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC013,10.1021/acs.macromol.5b02336,Toward a Quantitative Description of Radical Photoinitiator Structure–Reactivity Correlations,2015,Macromolecules,journal-article,Type-I; boundary_excluded,6,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC014,10.1021/acs.macromol.7b00089,Wavelength-Dependent Photochemistry of Oxime Ester Photoinitiators,2017,Macromolecules,journal-article,FRP;LED;bio; Type-I; boundary_excluded; mixed_or_unknown,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC015,10.1021/acs.macromol.7b00210,Carbazole Scaffold Based Photoinitiator/Photoredox Catalysts: Toward New High Performance Photoinitiating Systems and Application in LED Projector 3D Printing Resins,2017,Macromolecules,journal-article,Type-I; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC016,10.1021/acsami.1c02227,Ionic Carbazole-Based Water-Soluble Two-Photon Photoinitiator and the Fabrication of Biocompatible 3D Hydrogel Scaffold,2021,ACS Applied Materials & Interfaces,journal-article,2PP;TPP;bio; Type II; Type-I; Type-II_or_optical_boundary; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,NGE4C28I,17,0,parsed,doi_overlap_with_zotero
SRC017,10.1021/acsami.4c08956,Perspective on Water-Soluble Two-Photon Initiator for Two-Photon Polymerization,2024,ACS Applied Materials & Interfaces,journal-article,Type-I; boundary_excluded,6,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution,2021,ACS Applied Polymer Materials,journal-article,2PP;DLW;LED;TPP;bio; Type II;mixed_or_unknown; Type-I; Type-II; Type-II_or_donor_tuned; boundary_excluded,9,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,B6B7CEZ3,21,0,parsed,doi_overlap_with_zotero
SRC019,10.1021/acsapm.3c00141,Ketocoumarin-Based Photoinitiators for High-Sensitivity Two-Photon Lithography,2023,ACS Applied Polymer Materials,journal-article,2PL;2PP;TPP;bio; TPP-specific; Type-I; Type-II; boundary_excluded,9,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
