entity_id,paper_id,doi,source_label,canonical_name,canonical_smiles,inchikey,molecular_formula,confidence_tier,identity_status,identity_channel,source_evidence_id,source_location,rendered_page_path,source_detection_count,external_query_name,external_pubchem_cid,external_inchikey,crosscheck_basis,scientific_use_boundary
SRCENT-791296db10715a1d9a,ZPC-000021,10.1016/j.dental.2015.10.013,TTMSS,tris(trimethylsilyl)silane,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,SQMFULTZZQBFBM-UHFFFAOYSA-N,C9H28Si4,A_crosschecked,independent_database_crosschecked_source_structure,strict_panel_plus_pubchem,PANELSTR-b923aa657e2dcf425c,"PDF page 9; structure bbox (1680, 289, 2039, 554); label bbox (1809, 554, 1916, 579)",LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\source_pages\ZPC-000021\page_0009.png,1,tris(trimethylsilyl)silane,123134,SQMFULTZZQBFBM-UHFFFAOYSA-N,same_source_abbreviation_and_full_name,"Accepted for molecular identity linkage only; not accepted as evidence for experimental numerical values, model performance, or screening outcomes."
SRCENT-ee2bba2365c7cd81de,ZPC-004762,10.1021/acs.macromol.8b02640,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_crosschecked,independent_database_crosschecked_source_structure,strict_panel_plus_pubchem,PANELSTR-ab770fa798b6a6c83d,"PDF page 3; structure bbox (786, 2917, 991, 3049); label bbox (804, 3078, 974, 3102)",LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\source_pages\ZPC-004762\page_0003.png,1,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_source_label,"Accepted for molecular identity linkage only; not accepted as evidence for experimental numerical values, model performance, or screening outcomes."
SRCENT-3f5d988f15e99eb5ab,ZPC-004762,10.1021/acs.macromol.8b02640,DDFD,13031-04-4,CC1(C)COC(=O)C1=O,HRTOQFBQOFIFEE-UHFFFAOYSA-N,C6H8O3,A_crosschecked,independent_database_crosschecked_source_structure,strict_panel_plus_pubchem,PANELSTR-59001267fa46dcff84,"PDF page 6; structure bbox (1049, 893, 1183, 1055); label bbox (1078, 1072, 1158, 1095)",LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\source_pages\ZPC-004762\page_0006.png,1,13031-04-4,39,HRTOQFBQOFIFEE-UHFFFAOYSA-N,same_source_abbreviation_full_name_and_registry_number,"Accepted for molecular identity linkage only; not accepted as evidence for experimental numerical values, model performance, or screening outcomes."
SRCENT-602323f1037a13b7cb,ZPC-004762,10.1021/acs.macromol.8b02640,IC2959,Irgacure 2959,CC(C)(O)C(=O)c1ccc(OCCO)cc1,GJKGAPPUXSSCFI-UHFFFAOYSA-N,C12H16O4,A_crosschecked,independent_database_crosschecked_source_structure,strict_panel_plus_pubchem,PANELSTR-762a7135798d437d52,"PDF page 4; structure bbox (273, 1331, 700, 1506); label bbox (409, 1547, 506, 1570)",LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\source_pages\ZPC-004762\page_0004.png,1,Irgacure 2959,86266,GJKGAPPUXSSCFI-UHFFFAOYSA-N,same_source_abbreviation_and_full_name,"Accepted for molecular identity linkage only; not accepted as evidence for experimental numerical values, model performance, or screening outcomes."
SRCENT-e967083bed94262c89,ZPC-005453,10.1002/admi.202202352,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-5b8524ed29c32ea7,PDF page 3; embedded-text characters 2829-2841,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-005453\page_0003.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-b7339cc1875223a35a,ZPC-000279,10.1002/app.27668,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-2e91062494893453,PDF page 1; embedded-text characters 3178-3190,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000279\page_0001.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-ff345236f678a8d436,ZPC-000279,10.1002/app.27668,HBP,4-Hydroxybenzophenone,O=C(c1ccccc1)c1ccc(O)cc1,NPFYZDNDJHZQKY-UHFFFAOYSA-N,C13H10O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-935fced7a1ba3398,PDF page 2; embedded-text characters 407-410,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000279\page_0002.png,0,4-Hydroxybenzophenone,14347,NPFYZDNDJHZQKY-UHFFFAOYSA-N,explicit_source_local_name_expansion_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-14dc4550b0c4925034,ZPC-004394,10.1002/pola.28571,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-6c0a1d6eaebe7bb0,PDF page 1; embedded-text characters 2914-2926,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-004394\page_0001.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-a20226c84e279e4512,ZPC-000021,10.1016/j.dental.2015.10.013,EDMAB,ethyl-4-dimethylaminobenzoate,CCOC(=O)c1ccc(N(C)C)cc1,FZUGPQWGEGAKET-UHFFFAOYSA-N,C11H15NO2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-b7050ad9fb7b625f,PDF page 2; embedded-text characters 734-739,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000021\page_0002.png,0,ethyl-4-dimethylaminobenzoate,25127,FZUGPQWGEGAKET-UHFFFAOYSA-N,explicit_source_local_name_expansion_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-e35c563211f6a6f64d,ZPC-006106,10.1016/j.eurpolymj.2021.110293,Darocur1173,2-hydroxy-2-methylpropiophenone,CC(C)(O)C(=O)c1ccccc1,XMLYCEVDHLAQEL-UHFFFAOYSA-N,C10H12O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-e4ac05e3cb19c56d,PDF page 2; embedded-text characters 2220-2231,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-006106\page_0002.png,0,2-hydroxy-2-methylpropiophenone,81984,XMLYCEVDHLAQEL-UHFFFAOYSA-N,explicit_source_local_name_expansion_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
