route_evidence_id,source_id,source_doi,source_title,supporting_source_ids,supporting_dois,supporting_source_count,route_family,applicable_mechanism_lane,evidence_summary,normalized_route_rule,scope_limit,computational_use,downstream_use,route_evidence_class,route_evidence_class_definition,route_evidence_class_use,status
SR001,SRC030,10.1016/j.eurpolymj.2023.112597,Recent advances on phenothiazine-based oxime esters as visible light photoinitiators of polymerization,SRC030,10.1016/j.eurpolymj.2023.112597,1,OXIME_FORMATION,Type-I,The review states that aldehyde/ketone chromophores can be converted to oximes with hydroxylamine hydrochloride before OXE formation.,final_slate_or_generation_route_support,General OXE-route support; exact substrate scope still needs per-candidate route check.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,direct_route_precedent,The source reports the stated transformation or reaction family on a photoinitiator- or chromophore-relevant substrate with sufficient route or product detail to support family-level route plausibility.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR002,SRC030,10.1016/j.eurpolymj.2023.112597,Recent advances on phenothiazine-based oxime esters as visible light photoinitiators of polymerization,SRC030,10.1016/j.eurpolymj.2023.112597,1,OXIME_ESTERIFICATION,Type-I,The source describes one-step esterification of the generated oxime using base and an acid chloride.,final_slate_or_generation_route_support,"Directly supports OXE formation, but acid chloride identity and regioisomerism need candidate-level control.",route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,direct_route_precedent,The source reports the stated transformation or reaction family on a photoinitiator- or chromophore-relevant substrate with sufficient route or product detail to support family-level route plausibility.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR003,SRC031,10.1016/j.dyepig.2023.111202,Photoinitiation behavior of phenothiazines containing two oxime ester functionalities (OXEs) in free radical photopolymerization and 3D printing application,SRC031,10.1016/j.dyepig.2023.111202,1,OXIME_ESTERIFICATION,Type-I,"The paper links OXE photoexcitation to N-O cleavage and radical generation, matching the Type-I validation lane.",final_slate_or_generation_route_support,Mechanistic support; predicted candidates still require N-O BDE and excited-state checks.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,direct_route_precedent,The source reports the stated transformation or reaction family on a photoinitiator- or chromophore-relevant substrate with sufficient route or product detail to support family-level route plausibility.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR004,SRC032,10.1016/j.eurpolymj.2023.111901,A review on recently proposed oxime ester photoinitiators,SRC032,10.1016/j.eurpolymj.2023.111901,1,BUCHWALD_HARTWIG_DONOR_INSTALL,Type-I,"Triphenylamine-based oxime ester access is described through arylamine formation by C-N coupling, followed by formylation, oximation and condensation.",final_slate_or_generation_route_support,Supports donor installation in OXE-like routes; catalyst/ligand scope must be checked for each aryl halide.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,direct_route_precedent,The source reports the stated transformation or reaction family on a photoinitiator- or chromophore-relevant substrate with sufficient route or product detail to support family-level route plausibility.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR005,SRC033,10.1039/c3tc00623a,Synthesis and two-photon properties of a novel multi-branched chromophore with an unsymmetrically substituted scaffold derived from functionalized quinoxalinoid heterocycles,SRC033,10.1039/c3tc00623a,1,SONOGASHIRA_DONOR_ACCEPTOR,Type-I; SET/PET_or_optical,The quinoxalinoid chromophore synthesis uses Sonogashira chemistry to access a diarylacetylene precursor.,final_slate_or_generation_route_support,Strong support for ethynyl-extended chromophores; not automatically proof of PI activity.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,direct_route_precedent,The source reports the stated transformation or reaction family on a photoinitiator- or chromophore-relevant substrate with sufficient route or product detail to support family-level route plausibility.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR006,SRC034,10.1002/cphc.201402646,"π‐Expanded α,β‐Unsaturated Ketones: Synthesis, Optical Properties, and Two‐Photon‐Induced Polymerization",SRC034,10.1002/cphc.201402646,1,SONOGASHIRA_DONOR_ACCEPTOR,SET/PET_or_optical,"A two-photon polymerization photoinitiator library of expanded alpha,beta-unsaturated ketones was prepared using Sonogashira and condensation steps.",final_slate_or_generation_route_support,Supports ethynyl bridge construction in high-2PA PI-like chromophores; reaction conditions remain substrate-specific.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,direct_route_precedent,The source reports the stated transformation or reaction family on a photoinitiator- or chromophore-relevant substrate with sufficient route or product detail to support family-level route plausibility.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR007,SRC034,10.1002/cphc.201402646,"π‐Expanded α,β‐Unsaturated Ketones: Synthesis, Optical Properties, and Two‐Photon‐Induced Polymerization",SRC034,10.1002/cphc.201402646,1,KNOEVENAGEL_CYCLOKETONE,SET/PET_or_optical,"The source describes aldehyde-cycloketone condensation to make donor-substituted alpha,beta-unsaturated ketone photoinitiator scaffolds.",final_slate_or_generation_route_support,The paper names aldol condensation rather than Knoevenagel; use as Knoevenagel/aldol-family support.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,qualified_close_analogue,"The source reports a closely related transformation, but the substrate class, target family or exact route differs; candidate-specific applicability requires further verification.","descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR008,SRC035,10.1039/b609309d,"Carbazole-based 1D and 2D hemicyanines: synthesis, two-photon absorption properties and application for two-photon photopolymerization 3D lithography",SRC035,10.1039/b609309d,1,KNOEVENAGEL_CYCLOKETONE,SET/PET_or_optical,Carbazole donor hemicyanine 2PA chromophores were prepared by Knoevenagel condensation.,final_slate_or_generation_route_support,Supports donor-acceptor chromophore formation; PI initiating-center closure must be added separately.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,contextual_or_analogous_support,The source provides reaction or motif context without a direct protocol for the stated route on the target family; it supports contextual review only.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR009,SRC018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution,SRC018,10.1021/acsapm.0c01291,1,SUZUKI_EXTENDED_ARYL,Type-II_or_donor_tuned,"ITX photoinitiator derivatives were diversified by Suzuki coupling, supporting donor/aryl expansion of benchmark PI scaffolds.",final_slate_or_generation_route_support,Good route support for donor-tuned benchmark lanes; still requires 2PA and initiation mechanism checks.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,direct_route_precedent,The source reports the stated transformation or reaction family on a photoinitiator- or chromophore-relevant substrate with sufficient route or product detail to support family-level route plausibility.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
SR010,SRC036,10.1039/c8me00101d,Towards efficient initiators for two-photon induced polymerization: fine tuning of the donor/acceptor properties,SRC036,10.1039/c8me00101d,1,SUZUKI_EXTENDED_ARYL,SET/PET_or_optical,The paper explicitly assembles potential donor-acceptor-donor two-photon photoinitiators by Suzuki cross-coupling.,final_slate_or_generation_route_support,Strongest support for Suzuki-based D-A-D PI enumeration; generated products still need strict PI role closure.,route plausibility and family-level materialisation review,candidate portfolio annotation; not model training,direct_route_precedent,The source reports the stated transformation or reaction family on a photoinitiator- or chromophore-relevant substrate with sufficient route or product detail to support family-level route plausibility.,"descriptive provenance class only; not a score, ranking weight or model input",traceable_route_evidence
