knowledge_id,source_id,source_doi,source_title,evidence_scope,evidence_summary,normalized_field,normalized_rule,scientific_rationale,computational_use,downstream_asset,evidence_level,status,provenance_path
DK0001,P0023,10.1021/ma301770a,ma301770a 1..10,family/mechanism,Acylphosphine oxide motifs remain close-analogue keep motifs for radical initiation even when not optimized for classic 2PP.,acylphosphine_oxide,Evaluate acylphosphine_oxide under the stated evidence and claim limits.,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",domain criterion and candidate admissibility control,round29_direct_lane,close_analogue,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0002,P0025,10.1038/s41598-018-35301-x,"Wavelength-optimized Two-Photon Polymerization Using Initiators Based on Multipolar Aminostyryl-1,3,5-triazines | formula cross-checked as C21H30N4. | formula cross-checked as C36H51N5. | formula cross-checked as C51H72N6. | manual curated exact structure from Figure 1 plus synthesis description of the original paper | manual curated exact structure from Figure 1 plus synthesis/HRMS section of the original paper | manual curated exact structure from Figure 1 plus synthesis/elemental-analysis section of the original paper",family/mechanism,"Multipolar aminostyryl-triazine motifs remain priority core motifs when donor-rich styryl arms are paired with a 1,3,5-triazine acceptor core and direct 2PP precedent.",aminostyryl_triazine,Evaluate aminostyryl_triazine under the stated evidence and claim limits.,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0003,P0010,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,family/mechanism,Benzophenone-like initiating centers with donor decoration remain priority motifs for organic resin mode 2PI screening.,benzophenone,Evaluate benzophenone under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0004,P0007,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,family/mechanism,Benzylidene cycloketone scaffolds with strong push-pull D-pi-A-pi-D design remain priority motifs when 2PA-compatible conjugation and processability support are present.,benzylidene_cycloketone,Evaluate benzylidene_cycloketone under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0005,P0019,10.1021/acsapm.3c00141,Ketocoumarin-Based Photoinitiators for High-Sensitivity Two-Photon Lithography,family/mechanism,Ketocoumarin-like fused donor-acceptor motifs remain priority motifs for high-sensitivity two-photon lithography candidates.,ketocoumarin,Evaluate ketocoumarin under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0006,P0003,10.1002/chem.202104191,From Light to Structure: Photo Initiators for Radical Two‐Photon Polymerization,family/mechanism,Oxime ester initiating motifs remain priority motifs because cleavage-centered Type I initiation is repeatedly used in photoinitiator design.,oxime_ester,Evaluate oxime_ester under the stated evidence and claim limits.,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0007,P0018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution | manual curated exact structure derived from systematic name in paper text and cross-checked against Figure 1 of doi_10_1021_acsapm_0c01291,family/mechanism,Thioxanthone-like chromophores with extended conjugation remain priority motifs when donor substitution and 2PA matching are present.,thioxanthone,Evaluate thioxanthone under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0008,P0025,10.1038/s41598-018-35301-x,"Wavelength-optimized Two-Photon Polymerization Using Initiators Based on Multipolar Aminostyryl-1,3,5-triazines | formula cross-checked as C21H30N4. | formula cross-checked as C36H51N5. | formula cross-checked as C51H72N6. | manual curated exact structure from Figure 1 plus synthesis description of the original paper | manual curated exact structure from Figure 1 plus synthesis/HRMS section of the original paper | manual curated exact structure from Figure 1 plus synthesis/elemental-analysis section of the original paper",family/mechanism,"Multipolar aminostyryl-triazine motifs remain priority core motifs when donor-rich styryl arms are paired with a 1,3,5-triazine acceptor core and direct 2PP precedent.",aminostyryl_triazine,Evaluate aminostyryl_triazine under the stated evidence and claim limits.,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0009,P0029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,family/mechanism,Aryliodonium motifs are out-of-scope benchmark/watchlist anchors for cationic or photosensitized photoinitiating systems and should not be promoted into the donor-rich radical 2PI core by onium identity alone.,aryliodonium,Evaluate aryliodonium under the stated evidence and claim limits.,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",domain criterion and candidate admissibility control,supporting_or_boundary,motif_level_support,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0010,P0010,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,family/mechanism,Benzophenone-like initiating centers with donor decoration remain priority motifs for organic resin mode 2PI screening.,benzophenone,Evaluate benzophenone under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0011,P0007,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,family/mechanism,Benzylidene cycloketone scaffolds with strong push-pull D-pi-A-pi-D design remain priority motifs when 2PA-compatible conjugation and processability support are present.,benzylidene_cycloketone,Evaluate benzylidene_cycloketone under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
