evidence_id,relation,remote_registry
AUD20260828-0001,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0002,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0003,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0004,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0005,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0006,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0008,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0009,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0010,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0011,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0012,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0013,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0014,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0015,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0016,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0017,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0018,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0019,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0020,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0021,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0022,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0023,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0024,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0025,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0026,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0027,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0028,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0029,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0030,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0031,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0032,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0033,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0034,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0035,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0036,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0037,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0038,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0039,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0040,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0041,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0042,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0043,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0044,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0045,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0046,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0047,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0048,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0049,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0050,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0051,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0052,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0053,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0054,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0055,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0056,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0057,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0058,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0059,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0060,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0061,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0062,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0063,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0064,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0065,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0066,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0067,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0068,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0069,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0070,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0071,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0072,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0073,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0074,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0075,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0076,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0077,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0078,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0079,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0080,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0081,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0082,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0083,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0084,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0085,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0086,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0087,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0088,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0089,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0090,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0091,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0092,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0093,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
AUD20260828-0094,already_present_exact_id,outputs/zotero_tpp_literature_pilot_20260828/unified_evidence_v2/unified_evidence_registry.csv
