anchor_id,paper_id,zotero_key,doi,title,value_type,page_hint,evidence_anchor,raw_value,raw_unit,confidence_class,audit_status,origin_digitizer_needed,source_text_path
zotero_2SCTZD9L:isc_t1:10,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,isc_t1,8,"MANUSCRIPT ACCEPTED ACCEPTED MANUSCRIPT 7 used directly without further purification. 2.2 Synthesis and characterization The synthetic routes towards compounds T1 -T3 are shown in Scheme 1 . All final compounds were characterized by 1H-NMR , 13 C-NMR , HR-MS and HPLC analysis, conforming a purity of over 95%. 2.2.1. Di",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:isc_t1:11,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,isc_t1,9,"Hz, 2H), 7.72 ∼7.74 (d, J = 8 Hz, 2H), 9.74(s, 1H). HR-MS (ESI) theoretical m/z [M+1H] +=294.1341, found 294.1328. 2.2.3. Sodium 3,3',3'',3'''-((((2-oxocyclobutane-1,3-diyli dene)bis (methanylylidene))bis(4,1-phenylene))bis(azanetriyl))tetrapropanoate (T1) M2 (1.05 g, 3.58 mmol) and NaOH (0.29 g, 7.25 mmol) were added ",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:isc_t1:6,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,isc_t1,2,"t Road, Haidian District, Beijing, 100190, China; bUniversity of Chinese Academy of Sciences, No.19A Yuquan Road, Beijing, 100049, China; *yuxia.zhao@mail.ipc.ac.cn; phone +86 010-82543569 Abstract A series of water-soluble benzylidene cyclanone dye s T1 -T3 were synthesized. Their photo-physical properties were i nves",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:isc_t1:9,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,isc_t1,6,"ugh introducing four sodium carboxylate groups into different benzylidene cyclanone moieties (cyclobutanone, cycl opentanone and cyclohexanone) to further exploit the application o f such dyes in tissue engineering. The specific structures of designed PIs (T1 -T3 ) are shown in",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:mechanism:14,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,mechanism,14,ption spectra and the florescen ce emission spectra of T1 -T3 in deionized water are shown in Figure 2. Their comprehensive photo-physical characteristics are listed in Table 2. It is shown that all of the three compounds present a strong intramolecular charge transfer (ICT) absorption band within 400 ∼650 nm. This abs,,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:pi_loading:12,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,pi_loading,12,"ic rostructures were characterized by SEM (HITACHI S-4300F). The resins R2-R4 (listed in Table 1) were used in one-photon polymerization experiments. The mixed solution was poured into a glass cell made in our laboratory, the thickness of the s ample was 0.5 mm. A 532 nm laser was used as light source. Its intensit y o",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:pi_loading:13,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,pi_loading,13,"a humid atmosphere with 5% carbon dioxide at 37°C. After that, 100 µl culture media containing different concentrations o f PIs ( T1 -T3 , Y2 and Y3 ) were added into the 96 well plates to achieve the final PIs’ concentrations of 0.6, 0.9, 1.3, 2.0 and 3.0 mM in wells, respectively. The culture media and the culture me",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:pi_loading:17,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,pi_loading,18,"her investigated. 3.5 Cytotoxicity Studies Biocompatibility is a vitally important factor for the application of water-soluble PIs. Figure 7 displays the cell viability after 24 h cultivation in substrates containing these PIs with a concentration of 3 mM, which approximates to the concentration of T1 -T3 used in the 2",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:pi_loading:7,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,pi_loading,5,"nsity (100 mW) and long expos ure time (300 ∼400 µs) were required in their experiments. By using a w ater-soluble PI (WSPI) with a σ2 of 120 GM, Liska et al. successfully fabricated 3D scaffolds from PEGDA (PEG diacrylates) with a fast scanning speed of 10 mm/s under laser power of 140 mW. [17] Irgacure 2959 , a comme",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:sigma2:1,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,sigma2,2,"one +86 010-82543569 Abstract A series of water-soluble benzylidene cyclanone dye s T1 -T3 were synthesized. Their photo-physical properties were i nvestigated using UV-Vis spectra, fluorescence spectra and two-photon absorption spectra. The maximum two-photon absorption cross-sections ( σ 2) of T1 -T3 in deionized wat",,,text_exact_candidate,pending,unknown,local_only/text_not_published
