representative_id,zinc_id,canonical_smiles,mechanism_lane,selection_role,family_id,lane_family_priority_score,D06_sigma_max,F06_sigma_max,D06_F06_discordance,AD_tier,novelty_class,mechanism_completeness,selection_rationale,neutral_qm_status,mechanism_specific_evidence,key_numeric_result,evidence_tier,decision_status,claim_limit
TI-01,ZINCt800000cXDdY,CC1=NOC(=O)[C@@H]1CCC(=O)NC1(CNc2cc(=O)n3oc(C)cc3n2)COC1,Type-I,primary_mechanism_representative,single_component_TypeI_primary__GRF_2c67d4f7f89006,0.8073367237687366,218.11490395211703,219.2792169627625,1.1643130106454578,AD_near,Known-family recovery,L2_partial_mechanism,"high lane-internal Type-I family score balancing D06, AD, low D06/F06 discordance, novelty, and cleavable motif completeness",normal minimum; zero imaginary frequencies,Neutral minimum and excited-state calculations available; no candidate-specific cleavage scan in the packaged closure.,,mechanism-route assessed; cleavage closure not established,retain as Type-I computational candidate,Type-I routing is not a fragment-BDE or radical-generation proof.
TI-02,ZINCs900000dhXO7,CC1=NOC(=O)[C@@H]1CC(=O)N1C[C@@H]2C[C@H]1CN2c1cc(=O)n2oc(C)cc2n1,Type-I,primary_mechanism_representative,single_component_TypeI_primary__GRF_e556f9c1c565e1,0.7972256167023555,190.6600077732361,191.5718631248858,0.911855351649706,AD_near,Known-family recovery,L3_complete_role_closure,"high lane-internal Type-I family score balancing D06, AD, low D06/F06 discordance, novelty, and cleavable motif completeness",normal minimum; zero imaginary frequencies,Neutral minimum and excited-state calculations available; no candidate-specific cleavage scan in the packaged closure.,,mechanism-route assessed; cleavage closure not established,retain as Type-I computational candidate,Type-I routing is not a fragment-BDE or radical-generation proof.
TI-03,ZINCt800000cXDlp,CC1=NOC(=O)[C@@H]1CCC(=O)NCC1(Nc2cc(=O)n3oc(C)cc3n2)COC1,Type-I,primary_mechanism_representative,single_component_TypeI_primary__GRF_c7d1c40aec009b,0.767267233404711,197.98617215572543,192.41321170080803,5.572960454917393,AD_near,Known-family recovery,L2_partial_mechanism,"high lane-internal Type-I family score balancing D06, AD, low D06/F06 discordance, novelty, and cleavable motif completeness",normal minimum; zero imaginary frequencies,Neutral minimum and excited-state calculations available; no candidate-specific cleavage scan in the packaged closure.,,mechanism-route assessed; cleavage closure not established,retain as Type-I computational candidate,Type-I routing is not a fragment-BDE or radical-generation proof.
TI-04,ZINCr800000a9x9n,CC1=NOC(=O)[C@@H]1CC(=O)N1CC(N(C)c2cc(=O)n3ccccc3n2)C1,Type-I,primary_mechanism_representative,single_component_TypeI_primary__GRF_f7b24eafd1901f,0.7638962291220557,237.2144994578858,231.05021278475607,6.164286673129737,AD_near,Known-family recovery,L3_complete_role_closure,"high lane-internal Type-I family score balancing D06, AD, low D06/F06 discordance, novelty, and cleavable motif completeness",normal minimum; zero imaginary frequencies,Candidate-specific relaxed N–O bond scan completed.,9 points; 1.40704–2.20704 Å; ΔE 0–44.548 kcal mol−1,QM-supported cleavage hypothesis,retain as Type-I computational candidate,Directional scan support is not a fragment Gibbs BDE or photolysis quantum-yield measurement.
TI-05,ZINCs900000di1OL,CC1=NOC(=O)[C@@H]1CCC(=O)N1C[C@H](C)[C@H](Nc2ncnc3c2nnn3C)C1,Type-I,relative_novelty_probe_no_novel_core_available,single_component_TypeI_primary__GRF_2228c18f4425bb,0.5898893104925054,128.03458544123853,123.33559662013164,4.698988821106894,AD_near,Known-family recovery,L2_partial_mechanism,fallback novelty probe within this lane because no true novel-core family is available under the frozen scope,normal minimum; zero imaginary frequencies,Neutral minimum and excited-state calculations available; no candidate-specific cleavage scan in the packaged closure.,,mechanism-route assessed; cleavage closure not established,retain as Type-I computational candidate,Type-I routing is not a fragment-BDE or radical-generation proof.
TI-06,ZINCt800000cXIUW,CC1=NOC(=O)[C@H]1CCC(=O)NC[C@H](CO)Nc1cc(C(F)F)nc2ncnn12,Type-I,relative_novelty_probe_no_novel_core_available,single_component_TypeI_primary__GRF_4daf2f1d28726f,0.6149400428265523,154.87436191758653,170.2364662160852,15.36210429849868,AD_near,Known-family recovery,L2_partial_mechanism,fallback novelty probe within this lane because no true novel-core family is available under the frozen scope,normal minimum; zero imaginary frequencies,Neutral minimum and excited-state calculations available; no candidate-specific cleavage scan in the packaged closure.,,mechanism-route assessed; cleavage closure not established,retain as Type-I computational candidate,Type-I routing is not a fragment-BDE or radical-generation proof.
TI-07,ZINCt800000cXIwV,CC1=NOC(=O)[C@H]1CCC(=O)NC1(CNc2cc(=O)n3oc(C)cc3n2)COC1,Type-I,same_family_or_neighbor_boundary_control,single_component_TypeI_primary__GRF_2c67d4f7f89006,0.8073367237687366,219.9717648005781,218.05633770576773,1.9154270948103544,AD_near,Known-family recovery,L2_partial_mechanism,"same-family or near-neighbor boundary/control, not a discovery claim",normal minimum; zero imaginary frequencies,Neutral minimum and excited-state calculations available; no candidate-specific cleavage scan in the packaged closure.,,mechanism-route assessed; cleavage closure not established,retain as Type-I computational candidate,Type-I routing is not a fragment-BDE or radical-generation proof.
TII-01,ZINCs900000PMCfK,NC(=O)C(=O)N1CCN(C(=O)c2ccc(C(=O)c3cccc(O)c3)cc2)CC1,Type-II,primary_mechanism_representative,coinitiator_dependent_TypeII_primary__GRF_59969d00a47cd7,0.7904610933609959,592.793272557617,597.3259712729018,4.532698715284823,AD_near,Known-family recovery,L1_boundary_signal,high Type-II carbonyl family score with declared coinitiator/H-donor validation requirement and superfamily diversity,normal minimum; zero imaginary frequencies,Triethylamine coinitiator reference and candidate radical-anion stable-point calculations available.,photo-ET proxy=0.076 eV; class=near_thermoneutral_proxy,coinitiator-compatible exploratory with ET-proxy support,retain with explicit coinitiator context,"TEA Gibbs reference plus candidate vertical SCF EA and first bright excitation; not explicit pair geometry, not full Gibbs DeltaG_ET"
TII-02,ZINCr900001jPa3m,O=C1CC[C@H](OCC(=O)OCC(=O)c2cc3ccccc3oc2=O)C(=O)N1,Type-II,primary_mechanism_representative,coinitiator_dependent_TypeII_primary__GRF_6dcf0556a72f49,0.7879972894190872,448.7493770728306,446.58465884660455,2.164718226226057,AD_near,Novel-core exploratory,L2_partial_mechanism,high Type-II carbonyl family score with declared coinitiator/H-donor validation requirement and superfamily diversity,normal minimum; zero imaginary frequencies,Triethylamine coinitiator reference and candidate radical-anion stable-point calculations available.,photo-ET proxy=-0.233 eV; class=exergonic_proxy,coinitiator-compatible exploratory with ET-proxy support,retain with explicit coinitiator context,"TEA Gibbs reference plus candidate vertical SCF EA and first bright excitation; not explicit pair geometry, not full Gibbs DeltaG_ET"
TII-03,ZINCq9000022jvtP,Cc1nc(N[C@H]2C[C@H]2NC(=O)c2c[nH]c3cccnc3c2=O)[nH]c(=N)n1,Type-II,primary_mechanism_representative,coinitiator_dependent_TypeII_primary__GRF_31dab9883f338a,0.7651200695020746,399.3257628791884,401.2800724367223,1.954309557533918,AD_near,Novel-core exploratory,L2_partial_mechanism,high Type-II carbonyl family score with declared coinitiator/H-donor validation requirement and superfamily diversity,normal minimum; zero imaginary frequencies,Triethylamine coinitiator reference and candidate radical-anion stable-point calculations available.,photo-ET proxy=-0.166 eV; class=exergonic_proxy,coinitiator-compatible exploratory with ET-proxy support,retain with explicit coinitiator context,"TEA Gibbs reference plus candidate vertical SCF EA and first bright excitation; not explicit pair geometry, not full Gibbs DeltaG_ET"
