evidence_id,paper_id,zotero_key,doi,title,value_type,raw_value,raw_unit,normalized_value,normalized_unit,page_hint,evidence_anchor,formulation,wavelength_nm,figure_id,data_role,evidence_lane,confidence_class,audit_status,visual_audit_reference,source_json,notes
AUD20260828-0001,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,pi_loading,0.1,phr,0.1,phr,2,TABLE I: PETIA (0.1) / Irgacure 819 (0.1),PETIA; Irgacure 819,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Composition checked against the rendered Table I on PDF page 2.
AUD20260828-0002,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,pi_loading,0.2,phr,0.2,phr,2,TABLE I: PETIA (0.2) / Irgacure 819 (0.2),PETIA; Irgacure 819,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Composition checked against the rendered Table I on PDF page 2.
AUD20260828-0003,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,pi_loading,0.5,phr,0.5,phr,2,TABLE I: PETIA (0.5) / Irgacure 819 (0.5),PETIA; Irgacure 819,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Composition checked against the rendered Table I on PDF page 2.
AUD20260828-0004,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,polymerization_threshold_laser_power,12,mW,12,mW,2,"The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.",PETIA (0.1),,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Threshold value manually verified on the rendered PDF page 2.
AUD20260828-0005,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,damage_threshold_laser_power,70,mW,70,mW,2,PETIA (0.1) and PETIA (0.2): 70 mW; PETIA (0.5): 110 mW; above these values the photoresists started burning.,PETIA (0.1),,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Damage threshold manually checked against Figure 1 and the results paragraph.
AUD20260828-0006,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,polymerization_threshold_laser_power,7,mW,7,mW,2,"The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.",PETIA (0.2),,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Threshold value manually verified on the rendered PDF page 2.
AUD20260828-0008,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,polymerization_threshold_laser_power,3,mW,3,mW,2,"The minimum laser power was 12, 7, and 3 mW for PETIA (0.1), PETIA (0.2), and PETIA (0.5), respectively.",PETIA (0.5),,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Threshold value manually verified on the rendered PDF page 2.
AUD20260828-0009,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,damage_threshold_laser_power,110,mW,110,mW,2,PETIA (0.1) and PETIA (0.2): 70 mW; PETIA (0.5): 110 mW; above these values the photoresists started burning.,PETIA (0.5),,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Damage threshold manually checked against Figure 1 and the results paragraph.
AUD20260828-0010,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,objective_na,0.4,NA,0.4,NA,2,20× (NA=0.4) objective,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0011,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,hatch_distance,40,µm,40,µm,2,The hatch distance ... was set to 40 µm,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0012,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,scanning_speed,0.1,mm s−1,0.1,mm s−1,2,scanning speed were set to ... 0.1 mm/s,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0013,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,laser_wavelength,800,nm,800,nm,2,The output laser beam has ... a wavelength of 800 nm,SR499 + Lucirin TPO-L,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0014,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,pulse_width,150,fs,150,fs,2,pulse width of 150 fs,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0015,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,pulse_repetition_rate,80,MHz,80,MHz,2,pulse repetition rate of 80 MHz,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0016,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,objective_na,0.4,NA,0.4,NA,2,A 0.4 NA (20X) microscope objective was used for all experiments,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0017,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,pi_loading,"2.56, 3.78, 4.98",wt %,,,2,"three different photoinitiator concentrations by weight (2.56%, 3.78%, and 4.98%)",SR499 + Lucirin TPO-L,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Reported factor levels; retained as a list rather than a single concentration.
AUD20260828-0018,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,laser_power_test_levels,"12.5, 16, 20, 25, 35, 50",mW,,,2,"six levels of applied power (12.5 mW, 16 mW, 20 mW, 25 mW, 35 mW, and 50 mW)",,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Experimental factor levels.
AUD20260828-0019,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,scanning_speed_test_levels,"1, 3, 5",mm min−1,,,2,"three levels of speed (1 mm/min, 3 mm/min, and 5 mm/min)",,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Experimental factor levels.
AUD20260828-0020,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,fabrication_condition,3.78 wt % PI; 50 mW; 3 mm min−1,,,,2,"pattern fabricated with 3.78% photoinitiator concentration, 50 mW laser power, and 3 mm/min speed",SR499 + Lucirin TPO-L,,Figure 2,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0021,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,width_experimental,2.80,µm,2.80,µm,7,"Table 4: width experimental = 2.80 µm; concentration 3.78 wt %, speed 2.0 mm/min, power 17.0 mW",PI 3.78 wt %; 2.0 mm min−1; 17.0 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Estimated comparator in the same row: 2.72 µm; directly read from rendered Table 4.
AUD20260828-0022,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,width_experimental,1.95,µm,1.95,µm,7,"Table 4: width experimental = 1.95 µm; concentration 2.56 wt %, speed 2.5 mm/min, power 15.0 mW",PI 2.56 wt %; 2.5 mm min−1; 15.0 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Estimated comparator in the same row: 1.92 µm; directly read from rendered Table 4.
AUD20260828-0023,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,width_experimental,1.75,µm,1.75,µm,7,"Table 4: width experimental = 1.75 µm; concentration 2.56 wt %, speed 3.0 mm/min, power 13.5 mW",PI 2.56 wt %; 3.0 mm min−1; 13.5 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Estimated comparator in the same row: 1.66 µm; directly read from rendered Table 4.
AUD20260828-0024,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,width_experimental,2.85,µm,2.85,µm,7,"Table 4: width experimental = 2.85 µm; concentration 3.78 wt %, speed 4.0 mm/min, power 22.0 mW",PI 3.78 wt %; 4.0 mm min−1; 22.0 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Estimated comparator in the same row: 2.97 µm; directly read from rendered Table 4.
AUD20260828-0025,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,height_experimental,75.60,µm,75.60,µm,7,"Table 4: height experimental = 75.60 µm; concentration 3.78 wt %, speed 2.0 mm/min, power 17.0 mW",PI 3.78 wt %; 2.0 mm min−1; 17.0 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Estimated comparator in the same row: 76.62 µm; directly read from rendered Table 4.
AUD20260828-0026,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,height_experimental,40.60,µm,40.60,µm,7,"Table 4: height experimental = 40.60 µm; concentration 2.56 wt %, speed 2.5 mm/min, power 15.0 mW",PI 2.56 wt %; 2.5 mm min−1; 15.0 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Estimated comparator in the same row: 42.37 µm; directly read from rendered Table 4.
AUD20260828-0027,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,height_experimental,36.33,µm,36.33,µm,7,"Table 4: height experimental = 36.33 µm; concentration 2.56 wt %, speed 3.0 mm/min, power 13.5 mW",PI 2.56 wt %; 3.0 mm min−1; 13.5 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Estimated comparator in the same row: 35.33 µm; directly read from rendered Table 4.
AUD20260828-0028,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,height_experimental,103.00,µm,103.00,µm,7,"Table 4: height experimental = 103.00 µm; concentration 3.78 wt %, speed 4.0 mm/min, power 22.0 mW",PI 3.78 wt %; 4.0 mm min−1; 22.0 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Estimated comparator in the same row: 105.60 µm; directly read from rendered Table 4.
AUD20260828-0029,zotero_IYEGSI2X,IYEGSI2X,10.1016/j.apsusc.2007.08.011,Functional polymers by two-photon 3D lithography,pi_loading,0.025,wt %,0.025,wt %,1,a resin mixture containing only 0.025 wt% of photoinitiator was practical,acrylate resin mixture,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0030,zotero_IYEGSI2X,IYEGSI2X,10.1016/j.apsusc.2007.08.011,Functional polymers by two-photon 3D lithography,feature_resolution_scale,300,nm,300,nm,1,Feature resolutions in the range of 300 nm were achieved,,,,claim_only,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,"Reported range scale, not a single minimum feature size."
AUD20260828-0031,zotero_IYEGSI2X,IYEGSI2X,10.1016/j.apsusc.2007.08.011,Functional polymers by two-photon 3D lithography,pi_loading_relative_claim,factor of 100 lower,relative to traditional one-photon lithography,100,fold_lower,1,The required initiator content was therefore a factor of 100 lower than in traditional one-photon lithography,,,,claim_only,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0032,zotero_IYEGSI2X,IYEGSI2X,10.1016/j.apsusc.2007.08.011,Functional polymers by two-photon 3D lithography,processing_wavelength_range,750–850,nm,750–850,nm,1,photopolymerization at processing wavelength ... λ = 750–850 nm,,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0033,zotero_IYEGSI2X,IYEGSI2X,10.1016/j.apsusc.2007.08.011,Functional polymers by two-photon 3D lithography,refractive_index_change,0.01,Δn,0.01,Δn,1,Refractive index changes in the range of Δn = 0.01,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0034,zotero_B6CWSYVW,B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,threshold_exposure,95,J cm−2,95,J cm−2,3,The threshold exposure for polymerization of our resin was determined to be 95 J/cm²,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0035,zotero_B6CWSYVW,B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,minimum_exposure_time,4,ms,4,ms,3,corresponding to a minimum exposure time of 4 ms,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0036,zotero_B6CWSYVW,B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,focal_spot_radial_size,~0.2,µm,~0.2,µm,3,a focal spot of ~0.2-µm radial size,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Approximate value as reported.
AUD20260828-0037,zotero_B6CWSYVW,B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,average_laser_power,~3,µW,~3,µW,3,with an average power of ~3 µW to form,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Approximate value as reported.
AUD20260828-0038,zotero_B6CWSYVW,B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,point_spacing,200,nm,200,nm,3,The distance between adjacent points was 200 nm,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0039,zotero_B6CWSYVW,B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,feature_size_minimum,160,nm,160,nm,3,features as small as 160 nm could be depicted,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Minimum demonstrated feature size claim.
AUD20260828-0040,zotero_PJQEIM6F,PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,sigma_2pa,425,GM,425,GM,7,TPA cross-section of CCK-Th (δ780 nm = 425 GM),CCK-Th in PETA,780,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Explicit text value; not inferred from the curve.
AUD20260828-0041,zotero_PJQEIM6F,PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,sigma_2pa,343,GM,343,GM,7,TPA cross-section of CCK-Ben (δ780 nm = 343 GM),CCK-Ben in PETA,780,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Explicit text value; not inferred from the curve.
AUD20260828-0042,zotero_PJQEIM6F,PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,pi_loading,0.1,wt %,0.1,wt %,7,Formulation: CCK-Th (0.1 wt %) in PETA,CCK-Th in PETA,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0043,zotero_PJQEIM6F,PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,pi_loading,0.1,wt %,0.1,wt %,7,Formulation: CCK-Ben (0.1 wt %) in PETA,CCK-Ben in PETA,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0044,zotero_PJQEIM6F,PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,laser_wavelength,780,nm,780,nm,7,line arrays ... under 780 nm laser excitation,CCK-Th/CCK-Ben in PETA,780,Figure 7,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
