entity_id,paper_id,doi,source_label,specific_context_count,generic_context_count,selected_full_name,selected_alias,selected_smiles,selected_inchikey,selected_formula,anchor_type,anchor_source_count,anchor_channel_count,source_evidence_ids,source_locations,rendered_page_paths,decision_status,confidence_tier,decision_basis,scientific_use_boundary
SRCENT-037e697ec4b511929e,zotero_AU74BQZ6,10.37188/lam.2023.004,thioxanthone,0,1,,,,,,,0,0,TXTID-9ca808598d4cc710,PDF page 1; embedded-text characters 2779-2791,,rejected_generic_class_or_derivative_token,C_generic_token,generic_thioxanthone_class_or_mixed_derivative_context,Not a standalone molecular identity; keep as class or derivative context only.
SRCENT-0946feac5d870464b5,ZPC-003545,10.1142/s0218863514500489,thioxanthone,2,0,2-isopropyl-9H-thioxanthen-9-one,itx,CC(C)c1ccc2sc3ccccc3c(=O)c2c1,KTALPKYXQZGAEG-UHFFFAOYSA-N,C16H14OS,frozen_rdkit_validated_global_exact_alias,6,1,TXTID-1ec03185fa4f0cc6;TXTID-c13a7a345426dd80,PDF page 1; embedded-text characters 855-867;PDF page 2; embedded-text characters 2532-2544,outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-003545\page_0001.png;outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-003545\page_0002.png,accepted_contextual_fullname_identity,A_contextual_name_structure,explicit_isopropyl_thioxanthone_or_ITX_relation,"Molecular identity correction only; generic token leakage is replaced by an explicit source full name. No numerical evidence, model label, external-validation observation, screening decision, or COMSOL input is created."
SRCENT-0d7e067227e59feb87,zotero_87BWABRN,10.1039/c4tc00706a,thioxanthone,1,0,2-isopropyl-9H-thioxanthen-9-one,itx,CC(C)c1ccc2sc3ccccc3c(=O)c2c1,KTALPKYXQZGAEG-UHFFFAOYSA-N,C16H14OS,frozen_rdkit_validated_global_exact_alias,6,1,TXTID-861c00dad9399b33,PDF page 14; embedded-text characters 630-642,outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\zotero_87BWABRN\page_0014.png,accepted_contextual_fullname_identity,A_contextual_name_structure,explicit_isopropyl_thioxanthone_or_ITX_relation,"Molecular identity correction only; generic token leakage is replaced by an explicit source full name. No numerical evidence, model label, external-validation observation, screening decision, or COMSOL input is created."
SRCENT-16cd7b6803f52ac6aa,zotero_H86SV53N,10.1021/la803803m,benzophenone,3,0,"4,4'-bis(diethylamino)benzophenone (Michler's ethyl ketone)",bdebp,CCN(CC)c1ccc(C(=O)c2ccc(N(CC)CC)cc2)cc1,VYHBFRJRBHMIQZ-UHFFFAOYSA-N,C21H28N2O,frozen_rdkit_validated_global_exact_alias,1,1,TXTID-389ba16a46aba183;TXTID-61ddaaafca9be5f6;TXTID-b9b1875590c0e517,PDF page 1; embedded-text characters 1250-1262;PDF page 3; embedded-text characters 499-511;PDF page 4; embedded-text characters 770-782,outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\zotero_H86SV53N\page_0001.png;outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\zotero_H86SV53N\page_0003.png;outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\zotero_H86SV53N\page_0004.png,accepted_contextual_fullname_identity,A_contextual_name_structure,explicit_44_bis_diethylamino_benzophenone_name,"Molecular identity correction only; generic token leakage is replaced by an explicit source full name. No numerical evidence, model label, external-validation observation, screening decision, or COMSOL input is created."
SRCENT-232f778bdb9d05b64c,ZPC-006011,10.1021/ma500612x,camphorquinone,1,0,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,unanimous_multisource_text_pubchem_identity,8,1,TXTID-228bb70efd557f0f;TXTID-adc95ddd4b18d17e,PDF page 1; embedded-text characters 1438-1452;PDF page 5; embedded-text characters 1704-1718,outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-006011\page_0001.png;outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-006011\page_0005.png,accepted_contextual_fullname_identity,A_contextual_name_structure,explicit_camphorquinone_CQ_relation,"Molecular identity correction only; generic token leakage is replaced by an explicit source full name. No numerical evidence, model label, external-validation observation, screening decision, or COMSOL input is created."
SRCENT-2fdf60bd6fb3e2f85c,zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,thioxanthone,0,1,,,,,,,0,0,TXTID-42c53dd5109f6687,PDF page 8; embedded-text characters 2709-2721,,rejected_generic_class_or_derivative_token,C_generic_token,generic_thioxanthone_class_or_mixed_derivative_context,Not a standalone molecular identity; keep as class or derivative context only.
SRCENT-3cd37af14dd9642142,ZPC-005874,10.1515/nanoph-2022-0611,benzophenone,1,0,"4,4'-bis(diethylamino)benzophenone (Michler's ethyl ketone)",bdebp,CCN(CC)c1ccc(C(=O)c2ccc(N(CC)CC)cc2)cc1,VYHBFRJRBHMIQZ-UHFFFAOYSA-N,C21H28N2O,frozen_rdkit_validated_global_exact_alias,1,1,TXTID-2bd679033278d942,PDF page 5; embedded-text characters 3940-3952,outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-005874\page_0005.png,accepted_contextual_fullname_identity,A_contextual_name_structure,explicit_44_bis_diethylamino_benzophenone_name,"Molecular identity correction only; generic token leakage is replaced by an explicit source full name. No numerical evidence, model label, external-validation observation, screening decision, or COMSOL input is created."
SRCENT-552eb503a9aa56f233,ZPC-005874,10.1515/nanoph-2022-0611,thioxanthone,2,0,2-isopropyl-9H-thioxanthen-9-one,itx,CC(C)c1ccc2sc3ccccc3c(=O)c2c1,KTALPKYXQZGAEG-UHFFFAOYSA-N,C16H14OS,frozen_rdkit_validated_global_exact_alias,6,1,TXTID-0b2465b31edc8194;TXTID-3a8e72dc265cc2d6;TXTID-b415f6c64ec38ad8,PDF page 10; embedded-text characters 208-220;PDF page 10; embedded-text characters 2605-2617;PDF page 2; embedded-text characters 2166-2178,outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-005874\page_0002.png;outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-005874\page_0010.png,accepted_contextual_fullname_identity,A_contextual_name_structure,explicit_isopropyl_thioxanthone_or_ITX_relation,"Molecular identity correction only; generic token leakage is replaced by an explicit source full name. No numerical evidence, model label, external-validation observation, screening decision, or COMSOL input is created."
SRCENT-d222cc8e85c04a0ca6,ZPC-004762,10.1021/acs.macromol.8b02640,thioxanthone,1,0,2-isopropyl-9H-thioxanthen-9-one,itx,CC(C)c1ccc2sc3ccccc3c(=O)c2c1,KTALPKYXQZGAEG-UHFFFAOYSA-N,C16H14OS,frozen_rdkit_validated_global_exact_alias,6,1,TXTID-114db4301ffa12f7;TXTID-20fd1bfde07b3dcb;TXTID-443e3e0ec6cdc7bc,PDF page 6; embedded-text characters 1066-1078;PDF page 6; embedded-text characters 577-589;PDF page 8; embedded-text characters 614-626,outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-004762\page_0006.png;outputs\literature_kb_fullname_identity_recovery_20260906\source_pages\ZPC-004762\page_0008.png,accepted_contextual_fullname_identity,A_contextual_name_structure,explicit_isopropyl_thioxanthone_or_ITX_relation,"Molecular identity correction only; generic token leakage is replaced by an explicit source full name. No numerical evidence, model label, external-validation observation, screening decision, or COMSOL input is created."
SRCENT-da0b8ed42298284a7b,ZPC-005323,10.1002/polb.24891,thioxanthone,2,3,,,,,,,0,0,TXTID-25d8a2d35e46979b;TXTID-400e137acdf048ec;TXTID-4a0ba0f438ad1bc8;TXTID-8bf8e6f78f7c9803;TXTID-a189224dc93a36d9;TXTID-a943646c06d21f09;TXTID-bf1e5a7726092dd8;TXTID-e4efd18e2091d538;TXTID-ecf416d9f9d61837,PDF page 1; embedded-text characters 1240-1252;PDF page 1; embedded-text characters 1563-1575;PDF page 1; embedded-text characters 2547-2559;PDF page 1; embedded-text characters 9-21;PDF page 2; embedded-text characters 461-473;PDF page 2; embedded-text characters 891-903;PDF page 7; embedded-text characters 1324-1336;PDF page 7; embedded-text characters 921-933;PDF page 8; embedded-text characters 925-937,,rejected_generic_class_or_derivative_token,C_generic_token,generic_thioxanthone_class_or_mixed_derivative_context,Not a standalone molecular identity; keep as class or derivative context only.
