manuscript_concept,repository_file,keys,research_step,statement_boundary
manuscript terminology aliases,MANUSCRIPT_ALIGNMENT.md,LG-MGL;structural priors;property priors;mechanism-aware priors;DenseGNN;PI-DenseGNN,align manuscript terminology with frozen public assets,LG-MGL is the integrated workflow and not a third trained model; DenseGNN and PI-DenseGNN map to D06 and F06 respectively.
literature provenance and evidence sourcing,source_registry.csv,source_id;doi,knowledge-source traceability,A source supports only the evidence units that explicitly cite it.
domain evaluation requirements,domain_knowledge_registry.csv,knowledge_id;supporting_source_ids;supporting_dois;normalized_rule;computational_use,definition of what a 2PI candidate is evaluated on,Evaluation criteria are not experimental validation of every endpoint.
QC200K-derived label provenance,endpoint_representation_registry.csv,EP001–EP006;source;definition,construction of the frozen six-task corpus,The values are QuantumChem-200K-derived reference/proxy labels and should not be described collectively as untouched experimental ground truth.
six predictive endpoints and molecular representation,endpoint_representation_registry.csv,EP001–EP006;definition;original_unit;training_unit;valid_label_count;transformation;inverse_transformation;REP rows,multitask target and model-input construction,Endpoint definitions correspond to the frozen deployment assets; strict-clean retraining is a separate sensitivity audit. D06/DenseGNN is primary; F06/PI-DenseGNN is family-sensitive and diagnostic. General dense descriptors are not all directly literature-derived.
literature-prior six-task loss weighting,TASK_WEIGHT_POLICY.md; task_weight_derivation_registry.csv; task_weight_policy_registry.csv; task_weight_model_implementation_registry.csv; task_weight_sensitivity_registry.csv; task_weight_node_disclosure_registry.csv,TW-D01–TW-D10;TW-W01–TW-W06;TW-I01–TW-I12;TW-S01–TW-S05;TW-N01–TW-N05,"task-prior construction, model implementation and controlled sensitivity audit","The weights are an implemented deployment-utility prior, not learned weights, measurement-authority scores or a predictive-performance optimum; no external LLM-generated role score was used."
model evaluation and descriptor ablation,model_evaluation_registry.csv,record_id;status;rmse;rmse_std;oof_rmse;fold_consistency,scaffold-disjoint evaluation and representation analysis,The lowest observed ablation mean is comparative sensitivity evidence; it does not establish statistical superiority or replace frozen D06/F06 roles.
independent external optical evidence,model_evaluation_registry.csv,evidence_class;task;status,external optical comparison,The completed independent comparison supports sigma_max and must not be expanded to all six tasks or to sigma_780 without an additional verified asset.
applicability and model disagreement,model_evaluation_registry.csv; screening_workflow_summary.csv,evidence_class;decision_basis,reliability-informed deployment,Applicability-domain tiers and D06/F06 disagreement are diagnostics/risk controls and are not formal calibrated uncertainty quantification.
mechanism-specific candidate routing,mechanism_decision_registry.csv,mechanism_rule_id;supporting_source_ids;supporting_dois;mechanism_lane,Type-I/Type-II/SET-PET assignment,"Routing encodes admissibility, not mechanism proof."
route plausibility,synthesis_route_evidence_registry.csv,route_evidence_id;supporting_dois;route_family;route_evidence_class;route_evidence_class_definition,family-level materialisation review,Route classes describe provenance strength only and are not candidate scores; literature route precedent is not candidate-specific synthesis validation.
ZINC22 application and portfolio compression,screening_workflow_summary.csv,stage_id;scope,"9,939 candidates to 2,583 families to 21 representatives","Large-library deployment is an application of the framework, not an independent methodological innovation. The public evidence begins at the qualified 9,939-record pool and does not establish exhaustive processing of all ZINC22 molecules."
representative selection and QM evidence tier,representative_qm_evidence_registry.csv,representative_id;zinc_id;mechanism_lane;evidence_tier;decision_status;claim_limit,mechanism-matched physicochemical assessment,"The output is a QM-assessed candidate portfolio, not experimentally validated leads. Type-I closure is candidate-specific; Type-II evidence is ET-proxy rather than full pair Gibbs DeltaG_ET; SET/PET assignments remain exploratory."
