source_id,doi,title,record_count,anchor_count,numeric_count,field_names
ZPC-000028,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,57,0,57,experimental_context;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
ZPC-000049,10.1039/d4sc03527e,Two- and three-photon processes during photopolymerization in 3D laser printing,47,0,47,experimental_context;pi_loading;sigma_2pa
ZPC-000385,10.1166/jnn.2013.6011,Two-photon induced photopolymerization using photoinitiator with an intramolecular radical quenching moiety for nanolithography,42,0,42,experimental_context;pi_loading;polymerization_threshold
ZPC-001953,10.1038/s41598-017-17391-1,Additive manufacture of complex 3D Au-containing nanocomposites by simultaneous two-photon polymerisation and photoreduction,105,0,105,experimental_context;pi_loading;polymerization_threshold;voxel_geometry
ZPC-005664,10.3390/polym12112485,Fabrication of sub-micron polymer waveguides through two-photon polymerization in polydimethylsiloxane,63,0,63,experimental_context;pi_loading;polymerization_threshold
zotero_2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,19,19,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,9,9,0,mechanism;pi_loading;polymerization_threshold;sigma_2pa
zotero_3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,17,17,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,20,20,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_5TV7FKVK,10.1016/j.eurpolymj.2024.113176,Efficient and safe coumarin-carbazole-based oxime esters for one/two-photon polymerization of LEDs/NIR light,16,16,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_62KD2ECJ,10.1016/j.eurpolymj.2021.110525,"One/two-photon sensitive sulfonium salt photoinitiators based on 1,3,5-triphenyl-2-pyrazoline",13,13,0,mechanism;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_6ZQ3VP63,10.1038/17989,Two-photon polymerization initiators for three-dimensional optical data storage and microfabrication,14,14,0,mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_87BWABRN,10.1039/c4tc00706a,Two-photon lithography in visible and NIR ranges using multibranched-based sensitizers for efficient acid generation,15,15,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_95TT3IKI,10.1016/j.jphotochem.2007.03.002,"Synthesis, optical and initiating properties of new two-photon polymerization initiators-2,7-bis(styryl)anthraquinone derivatives",19,19,0,isc_t1_proxy;mechanism;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,Imidazole-containing photoinitiators for fabrication of sub-micron structures by 3D two-photon polymerization,15,15,0,mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_A8D94H4N,10.1063/1.2717532,Improving spatial resolution of two-photon microfabrication by using photoinitiator with high initiating efficiency,12,12,0,polymerization_threshold;sigma_2pa;voxel_geometry
zotero_AU74BQZ6,10.37188/lam.2023.004,Two-photon photopolymerization directly initiated by spiropyran photochromic molecules,19,19,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_B6B7CEZ3,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution,21,21,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,9,9,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_D3WL6CAT,10.1038/s41377-023-01188-1,A new function of photochromic spiropyran: an efficient photoinitiator for two-photon polymerization,7,7,0,isc_t1_proxy;mechanism;sigma_2pa;voxel_geometry
zotero_D47BE9ZL,10.1166/jnn.2013.6011,Two-photon induced photopolymerization using photoinitiator with an intramolecular radical quenching moiety for nanolithography,8,8,0,polymerization_threshold;voxel_geometry
zotero_D6JVVDG4,,"An Evidence-Guided, Mechanism-Aware Workflow for Functional Molecular Materials Discovery: Two-Photon Photoinitiators as a Demonstration",16,16,0,isc_t1_proxy;mechanism;polymerization_threshold;sigma_2pa
zotero_DV89B7W8,10.2217/rme.13.60,Two-photon polymerization of polyethylene glycol diacrylate scaffolds with riboflavin and triethanolamine used as a water-soluble photoinitiator,16,16,0,isc_t1_proxy;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_G6JRPM8H,10.1039/c9cc02923k,A two-photon active chevron-shaped type i photoinitiator designed for 3D stereolithography,16,16,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_GAG9RQRT,10.1364/AO.54.007020,"Study of the two-photon excitation of photoinitiator in various solvents, and the two-photon polymerization process",15,15,0,mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_H5G5DD8B,10.1002/polb.24891,Tailored thioxanthone-based photoinitiators for two-photon-controllable polymerization and nanolithographic printing,20,20,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_H86SV53N,10.1021/la803803m,Three-dimensional biodegradable structures fabricated by two-photon polymerization,4,4,0,pi_loading;polymerization_threshold;voxel_geometry
zotero_IMCYIYET,,Evidence guided mechanism aware workflow for two photon photoinitiator discovery,16,16,0,isc_t1_proxy;mechanism;polymerization_threshold;sigma_2pa
zotero_INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,20,20,0,mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_IYEGSI2X,10.1016/j.apsusc.2007.08.011,Functional polymers by two-photon 3D lithography,6,6,0,pi_loading;sigma_2pa;voxel_geometry
zotero_KGWA2AJ6,10.1007/s00339-007-4367-0,Two-photon absorption spectrum of the photoinitiator Lucirin TPO-L,8,8,0,isc_t1_proxy;polymerization_threshold;sigma_2pa
zotero_LF43QEJD,10.1109/ICOP56156.2022.9911711,The influence of photoinitiator concentration on the two-photon polymerization threshold of pentaerythritol triacrylate (PETIA) monomer,12,12,0,pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_LGVQA3RI,10.1016/j.eurpolymj.2021.110505,A highly biocompatible bio-ink for 3D hydrogel scaffolds fabrication in the presence of living cells by two-photon polymerization,11,11,0,pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_MVY2JWKZ,10.1063/1.2917810,Two-photon induced fabrication of gold microstructures in polystyrene sulfonate thin films using a ruthenium(II) dye as photoinitiator,11,11,0,isc_t1_proxy;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,14,14,0,isc_t1_proxy;mechanism;pi_loading;sigma_2pa;voxel_geometry
zotero_NGE4C28I,10.1021/acsami.1c02227,Ionic Carbazole-Based Water-Soluble Two-Photon Photoinitiator and the Fabrication of Biocompatible 3D Hydrogel Scaffold,17,17,0,mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_PEBWL6W6,10.1039/b900464e,Triphenylamine-modified quinoxaline derivatives as two-photon photoinitiators,11,11,0,pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,17,17,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_QH8XLKS5,10.1016/j.polymer.2017.04.039,Localized polymerization using single photon photoinitiators in two photon process for fabricating subwavelength structures,20,20,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_RK5TXPZ5,10.1364/OE.6.000064,Two-photon holography in 3-D photopolymer host-guest matrix,8,8,0,pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_RU8URT2Z,,Mechanism aware discovery of radical two photon photoinitiators from accessible chemical space,16,16,0,isc_t1_proxy;mechanism;polymerization_threshold;sigma_2pa
zotero_RXLQF5PE,10.1016/j.eurpolymj.2012.09.012,Influence of UV irradiation and two photon processing on the cinnamate monomers polymerization and formation of hybrid composites with nanosized ZnO,7,7,0,pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_RZAZ6SD2,10.1021/acsami.8b15011,Cucurbit[7]uril-Carbazole two-photon photoinitiators for the fabrication of biocompatible three-dimensional hydrogel scaffolds by laser direct writing in aqueous solutions,14,14,0,mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
zotero_S7XPYQQM,10.1364/OL.22.000132,Three-dimensional microfabrication with two-photon-absorbed photopolymerization,5,5,0,pi_loading;sigma_2pa;voxel_geometry
zotero_SRU6DZHE,10.1021/acs.macromol.0c01518,Polymerization photoinitiators with near-resonance enhanced two-photon absorption cross-section: Toward high-resolution photoresist with improved sensitivity,21,21,0,isc_t1_proxy;mechanism;pi_loading;polymerization_threshold;sigma_2pa;voxel_geometry
